SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
2;100;TERAMO;13.71722222;42.65472222;261;261;NA;Abruzzo;OD:100;Italia
102;1010;SCAFA;14.01416667;42.26583333;126;126;NA;Abruzzo;OD:1010;Italia
203;1020;ROCCAMORICE;14.019;42.21666667;478;478;NA;Abruzzo;OD:1020;Italia
404;1040;ALANNO;13.98527778;42.29555556;151;151;NA;Abruzzo;OD:1040;Italia
505;1050;MANOPPELLO;14.07138889;42.24972222;399;399;NA;Abruzzo;OD:1050;Italia
606;1060;CHIETI;14.18305556;42.37694444;237;237;NA;Abruzzo;OD:1060;Italia
657;1065;Chieti VV.FF.;14.19277778;42.36138889;136;136;NA;Abruzzo;OD:1065;Italia
708;1070;CASALINCONTRADA;14.13638889;42.29138889;255;255;NA;Abruzzo;OD:1070;Italia
809;1080;BRITTOLI;13.85233333;42.31666667;636;636;NA;Abruzzo;OD:1080;Italia
1011;1100;VILLA CELIERA;13.87;42.38444444;696;696;NA;Abruzzo;OD:1100;Italia
1112;1110;CATIGNANO;13.94527778;42.34611111;325;325;NA;Abruzzo;OD:1110;Italia
1137;1120;CEPAGATTI;14.07;42.36722222;145;145;NA;Abruzzo;OD:1120;Italia
1187;1125;VILLA REJA - CEPAGATTI;14.11194444;42.34194444;46;46;NA;Abruzzo;OD:1125;Italia
1338;1140;SPOLTORE;14.15055556;42.45611111;86;86;NA;Abruzzo;OD:1140;Italia
1489;1155;PESCARA COLLI;14.19444444;42.46888889;25;25;NA;Abruzzo;OD:1155;Italia
1540;1160;PESCARA;14.2425;42.44972222;5;5;NA;Abruzzo;OD:1160;Italia
1641;1170;RIVISONDOLI - PIANO CINQUEMIGLIA;14.04083333;41.86333333;1246;1246;NA;Abruzzo;OD:1170;Italia
1707;1180;PESCOCOSTANZO;14.05888889;41.88805556;1420;1420;NA;Abruzzo;OD:1180;Italia
1808;120;CAMPLI;13.70944444;42.75305556;325;325;NA;Abruzzo;OD:120;Italia
1909;1220;PASSO LANCIANO;14.09944444;42.19;1368;1368;NA;Abruzzo;OD:1220;Italia
1931;1230;PRETORO;14.14222222;42.22194444;466;466;NA;Abruzzo;OD:1230;Italia
1932;1240;GUARDIAGRELE;14.21444444;42.18722222;535;535;NA;Abruzzo;OD:1240;Italia
1933;1245;FILETTO;14.25833333;42.20972222;404;404;NA;Abruzzo;OD:1245;Italia
1934;1250;SEMIVICOLI;14.219;42.28333333;269;269;NA;Abruzzo;OD:1250;Italia
1935;1260;FARA F. PETRI;14.17333333;42.24638889;300;300;NA;Abruzzo;OD:1260;Italia
1936;1290;MIGLIANICO;14.26194444;42.32166667;141;141;NA;Abruzzo;OD:1290;Italia
1937;130;BELLANTE;13.80027778;42.74444444;296;296;NA;Abruzzo;OD:130;Italia
