SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;cod_rete;comune;provincia;nome_rete;area;cod_reg;Comments;State
1;2;C.A.M.S.E.;12.077962;44.602203;-1;NA;-1;EMILIA-ROMAGNA;2;20;ARGENTA;FERRARA;Regionale ARPA ER;nord;8;NA;Italy
2;3;Finale Emilia;11.284858;44.840826;12;NA;12;EMILIA-ROMAGNA;3;20;FINALE EMILIA;MODENA;Regionale ARPA ER;nord;8;NA;Italy
3;4;Malborghetto di Boara;11.657101;44.861933;4;NA;4;EMILIA-ROMAGNA;4;20;FERRARA;FERRARA;NA;nord;8;NA;Italy
4;5;Martorano;12.270185;44.168576;25;NA;25;EMILIA-ROMAGNA;5;20;CESENA;FORLI-CESENA;Regionale ARPA ER;nord;8;NA;Italy
5;6;Borgo Tossignano;11.61682;44.295233;87;NA;87;EMILIA-ROMAGNA;6;20;CASALFIUMANESE;BOLOGNA;NA;nord;8;NA;Italy
6;7;Cotignola;11.900171;44.367483;20;NA;20;EMILIA-ROMAGNA;7;20;COTIGNOLA;RAVENNA;NA;nord;8;NA;Italy
7;8;S. Pietro Capofiume Auto;11.620434;44.657207;11;NA;11;EMILIA-ROMAGNA;8;20;MOLINELLA;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
8;9;Loiano;11.33013;44.246914;748;NA;748;EMILIA-ROMAGNA;9;20;LOIANO;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
9;10;Piumazzo;11.100128;44.550817;55;NA;55;EMILIA-ROMAGNA;10;20;CASTELFRANCO EMILIA;MODENA;NA;nord;8;NA;Italy
10;11;Vignola;11.004556;44.505253;95;NA;95;EMILIA-ROMAGNA;11;20;VIGNOLA;MODENA;Regionale ARPA ER;nord;8;NA;Italy
11;12;Panocchia;10.297011;44.686098;181;NA;181;EMILIA-ROMAGNA;12;20;PARMA;PARMA;Regionale ARPA ER;nord;8;NA;Italy
12;13;Imola-Mario Neri;11.751273;44.335807;53;NA;53;EMILIA-ROMAGNA;13;20;IMOLA;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
13;14;Fiorenzuola;9.883384;44.917497;80;NA;80;EMILIA-ROMAGNA;14;20;FIORENZUOLA D'ARDA;PIACENZA;NA;nord;8;NA;Italy
14;15;Gariga;9.683364;44.967498;90;NA;90;EMILIA-ROMAGNA;15;20;PODENZANO;PIACENZA;NA;nord;8;NA;Italy
15;16;Monticelli;9.900047;45.06192;45;NA;45;EMILIA-ROMAGNA;16;20;CAORSO;PIACENZA;NA;nord;8;NA;Italy
16;17;Vicobarone;9.383348;44.984167;289;NA;289;EMILIA-ROMAGNA;17;20;ZIANO PIACENTINO;PIACENZA;NA;nord;8;NA;Italy
17;18;Parma_Stuard;10.266742;44.800821;59;NA;59;EMILIA-ROMAGNA;18;20;PARMA;PARMA;Regionale ARPA ER;nord;8;NA;Italy
18;16131;Parma_Panocchia;10.3;44.68333;66;NA;66;EMILIA-ROMAGNA;16131;20;PARMA;PARMA;NA;nord;8;NA;Italy
19;16137;Spilamberto;11;44.51667;90;NA;90;EMILIA-ROMAGNA;16137;20;SPILAMBERTO;MODENA;NA;nord;8;NA;Italy
20;16139;Settefonti;11.463479;44.404139;336;NA;336;EMILIA-ROMAGNA;16139;20;OZZANO DELL'EMILIA;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
21;16141;Volano;12.247971;44.816631;3;NA;3;EMILIA-ROMAGNA;16141;20;CODIGORO;FERRARA;Regionale ARPA ER;nord;8;NA;Italy
22;16143;Rolo;10.874828;44.888328;22;NA;22;EMILIA-ROMAGNA;16143;20;ROLO;REGGIO EMILIA;Regionale ARPA ER;nord;8;NA;Italy
23;20001;Villanova d'Arda;10.005615;45.028885;40;NA;40;EMILIA-ROMAGNA;20001;20;VILLANOVA SULL'ARDA;PIACENZA;NA;nord;8;NA;Italy
24;20002;Ravarino;11.066787;44.745247;23;NA;23;EMILIA-ROMAGNA;20002;20;RAVARINO;MODENA;NA;nord;8;NA;Italy
25;20003;Albareto;10.96594;44.686929;28;NA;28;EMILIA-ROMAGNA;20003;20;MODENA;MODENA;Regionale ARPA ER;nord;8;NA;Italy
26;20004;Castelfranco Emilia;11.030113;44.632484;33;NA;33;EMILIA-ROMAGNA;20004;20;CASTELFRANCO EMILIA;MODENA;Regionale ARPA ER;nord;8;NA;Italy
27;20005;Sasso Marconi;11.240967;44.442754;275;NA;275;EMILIA-ROMAGNA;20005;20;SASSO MARCONI;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
28;20006;S. Agata sul Santerno;11.867947;44.450536;11;NA;11;EMILIA-ROMAGNA;20006;20;SANT'AGATA SUL SANTERNO;RAVENNA;Regionale ARPA ER;nord;8;NA;Italy
29;20007;Voghiera;11.713775;44.740511;3;NA;3;EMILIA-ROMAGNA;20007;20;VOGHIERA;FERRARA;NA;nord;8;NA;Italy
30;20008;Vigarano;11.509588;44.838572;14;NA;14;EMILIA-ROMAGNA;20008;20;VIGARANO MAINARDA;FERRARA;NA;nord;8;NA;Italy
31;20009;S. Pietro in Vincoli;12.150192;44.328563;7;NA;7;EMILIA-ROMAGNA;20009;20;RAVENNA;RAVENNA;Regionale ARPA ER;nord;8;NA;Italy
32;20010;Albereto di Faenza;12.019063;44.315776;17;NA;17;EMILIA-ROMAGNA;20010;20;FAENZA;RAVENNA;NA;nord;8;NA;Italy
33;20011;Vergiano;12.500762;44.037433;26;NA;26;EMILIA-ROMAGNA;20011;20;RIMINI;RIMINI;Regionale ARPA ER;nord;8;NA;Italy
34;20012;San Clemente;12.661047;43.93077;63;NA;63;EMILIA-ROMAGNA;20012;20;SAN CLEMENTE;RIMINI;NA;nord;8;NA;Italy
35;20013;San Salvatore;12.580486;43.996076;35;NA;35;EMILIA-ROMAGNA;20013;20;RIMINI;RIMINI;NA;nord;8;NA;Italy
36;20014;Casola Canina;11.689873;44.416917;32;NA;32;EMILIA-ROMAGNA;20014;20;IMOLA;BOLOGNA;NA;nord;8;NA;Italy
37;20015;S. Agata Bolognese;11.145673;44.697763;18;NA;18;EMILIA-ROMAGNA;20015;20;SANT'AGATA BOLOGNESE;BOLOGNA;Regionale ARPA ER;nord;8;NA;Italy
38;20016;Pannocchia;10.296961;44.686162;18;NA;18;EMILIA-ROMAGNA;20016;20;PARMA;PARMA;NA;nord;8;NA;Italy
39;20017;Copparo;11.832385;44.916933;2;NA;2;EMILIA-ROMAGNA;20017;20;COPPARO;FERRARA;Regionale ARPA ER;nord;8;NA;Italy
40;20018;Sala Bolognese;11.25069;44.591646;25;NA;25;EMILIA-ROMAGNA;20018;20;SALA BOLOGNESE;BOLOGNA;NA;nord;8;NA;Italy
41;20019;Correggio;10.773157;44.746098;33;NA;33;EMILIA-ROMAGNA;20019;20;CORREGGIO;REGGIO EMILIA;Regionale ARPA ER;nord;8;NA;Italy
42;20020;Cavriago;10.511196;44.692458;95;NA;95;EMILIA-ROMAGNA;20020;20;BIBBIANO;REGGIO EMILIA;Regionale ARPA ER;nord;8;NA;Italy
43;20021;Carpineta;12.275186;44.09216;118;NA;118;EMILIA-ROMAGNA;20021;20;CESENA;FORLI-CESENA;Regionale ARPA ER;nord;8;NA;Italy
44;20022;Lavezzola;11.846004;44.557756;6;NA;6;EMILIA-ROMAGNA;20022;20;ARGENTA;FERRARA;Regionale ARPA ER;nord;8;NA;Italy
45;20023;Mondaino;12.667155;43.867427;340;NA;340;EMILIA-ROMAGNA;20023;20;SALUDECIO;RIMINI;NA;nord;8;NA;Italy
46;20024;Bellaria;12.450213;44.134142;10;NA;10;EMILIA-ROMAGNA;20024;20;BELLARIA-IGEA MARINA;RIMINI;NA;nord;8;NA;Italy
47;20025;Montecolombo;12.566883;43.93413;170;NA;170;EMILIA-ROMAGNA;20025;20;MONTE COLOMBO;RIMINI;NA;nord;8;NA;Italy
48;20026;Camposanto;11.11873;44.799154;26;NA;26;EMILIA-ROMAGNA;20026;20;CAMPOSANTO;MODENA;NA;nord;8;NA;Italy
49;20027;Campremoldo di sopra;9.530304;45.004166;81;NA;81;EMILIA-ROMAGNA;20027;20;GRAGNANO TREBBIENSE;PIACENZA;NA;nord;8;NA;Italy
611;16008;S. Valentino alla Muta;10.53333;46.75;1459;NA;1459;TRENTINO-ALTO ADIGE;16008;1;CURON VENOSTA;BOLZANO;NA;nord;4;NA;Italy
612;16015;Passo del Brennero;11.5;47.03;1374;NA;1374;TRENTINO-ALTO ADIGE;16015;1;BRENNERO;BOLZANO;NA;nord;4;NA;Italy
613;16020;Bolzano;11.33333;46.48;241;NA;241;TRENTINO-ALTO ADIGE;16020;1;BOLZANO;BOLZANO;NA;nord;4;NA;Italy
614;16021;Passo Rolle;11.78333;46.3;2004;NA;2004;TRENTINO-ALTO ADIGE;16021;1;SIROR;TRENTO;NA;nord;4;NA;Italy
615;16022;Paganella;11.03333;46.15;2125;NA;2125;TRENTINO-ALTO ADIGE;16022;1;FAI DELLA PAGANELLA;TRENTO;NA;nord;4;NA;Italy
616;16033;Dobbiaco;12.21667;46.74;1222;NA;1222;TRENTINO-ALTO ADIGE;16033;1;DOBBIACO;BOLZANO;NA;nord;4;NA;Italy
617;16036;Aviano;12.6;46.03;128;NA;128;FRIULI-VENEZIA GIULIA;16036;1;AVIANO;PORDENONE;NA;nord;6;NA;Italy
618;16040;Tarvisio;13.58333;46.5;777;NA;777;FRIULI-VENEZIA GIULIA;16040;1;TARVISIO;UDINE;NA;nord;6;NA;Italy
619;16044;Udine/Campoformido;13.18333;46.03;93;NA;93;FRIULI-VENEZIA GIULIA;16044;1;CAMPOFORMIDO;UDINE;NA;nord;6;NA;Italy
620;16045;Udine/Rivolto;13.03333;45.98;51;NA;51;FRIULI-VENEZIA GIULIA;16045;1;CODROIPO;UDINE;NA;nord;6;NA;Italy
621;16052;Pian Rosa`;7.7;45.93;3480;NA;3480;VALLE D'AOSTA;16052;1;VALTOURNENCHE;AOSTA;NA;nord;2;NA;Italy
623;16059;Torino/Caselle;7.65;45.22;301;NA;301;PIEMONTE;16059;1;SAN MAURIZIO CANAVESE;TORINO;NA;nord;1;NA;Italy
624;16061;Torino/Bric della Croce;7.73333;45.03;709;NA;709;PIEMONTE;16061;1;PECETTO TORINESE;TORINO;NA;nord;1;NA;Italy
625;16064;Novara/Cameri;8.66667;45.52;178;NA;178;PIEMONTE;16064;1;CAMERI;NOVARA;NA;nord;1;NA;Italy
626;16066;Milano/Malpensa;8.73333;45.63;234;NA;234;LOMBARDIA;16066;1;FERNO;VARESE;NA;nord;3;NA;Italy
627;16072;Monte Bisbino;9.06667;45.87;1319;NA;1319;LOMBARDIA;16072;1;CERNOBBIO;COMO;NA;nord;3;NA;Italy
628;16076;Bergamo/Orio al Serio;9.7;45.67;238;NA;238;LOMBARDIA;16076;1;ORIO AL SERIO;BERGAMO;NA;nord;3;NA;Italy
629;16080;Milano/Linate;9.28333;45.44;107;NA;107;LOMBARDIA;16080;1;PESCHIERA BORROMEO;MILANO;NA;nord;3;NA;Italy
630;16084;Piacenza;9.73333;44.92;134;NA;134;EMILIA-ROMAGNA;16084;1;SAN GIORGIO PIACENTINO;PIACENZA;NA;nord;8;NA;Italy
631;16087;Verona-Rsd;11;44.45;NA;NA;NA;EMILIA-ROMAGNA;16087;1;SAVIGNANO SUL PANARO;MODENA;NA;nord;8;NA;Italy
631;16087;Verona-Rsd;11;44.45;203;NA;203;NA;16087;1;NA;NA;NA;NA;NA;NA;Italy
632;16088;Brescia/Ghedi;10.28333;45.42;102;NA;102;LOMBARDIA;16088;1;GHEDI;BRESCIA;NA;nord;3;NA;Italy
633;16090;Verona/Villafranca;10.86667;45.38;67;NA;67;VENETO;16090;1;VILLAFRANCA DI VERONA;VERONA;NA;nord;5;NA;Italy
634;16094;Vicenza;11.51667;45.57;39;NA;39;VENETO;16094;1;VICENZA;VICENZA;NA;nord;5;NA;Italy
635;16095;Padova;11.85;45.4;13;NA;13;VENETO;16095;1;PADOVA;PADOVA;NA;nord;5;NA;Italy
636;16098;Treviso/Istrana;12.1;45.68;45;NA;45;VENETO;16098;1;ISTRANA;TREVISO;NA;nord;5;NA;Italy
637;16099;Treviso/S.Angelo;12.18333;45.65;18;NA;18;VENETO;16099;1;QUINTO DI TREVISO;TREVISO;NA;nord;5;NA;Italy
638;16105;Venezia/Tessera;12.33333;45.5;2;NA;2;VENETO;16105;1;VENEZIA;VENEZIA;NA;nord;5;NA;Italy
639;16108;Ronchi dei Legionari;13.48333;45.82;12;NA;12;FRIULI-VENEZIA GIULIA;16108;1;RONCHI DEI LEGIONARI;GORIZIA;NA;nord;6;NA;Italy
640;16110;Trieste;13.75;45.65;8;NA;8;FRIULI-VENEZIA GIULIA;16110;1;TRIESTE;TRIESTE;NA;nord;6;NA;Italy
641;16113;Cuneo-Levaldigi;7.53333;44.38;NA;NA;NA;PIEMONTE;16113;1;CUNEO;CUNEO;NA;nord;1;NA;Italy
641;16113;Cuneo-Levaldigi;7.53333;44.38;555;NA;555;NA;16113;1;NA;NA;NA;NA;NA;NA;Italy
642;16114;Mondovi`;7.81667;44.38;559;NA;559;PIEMONTE;16114;1;MONDOVI';CUNEO;NA;nord;1;NA;Italy
643;16115;Monte Malanotte;7.8;44.25;1741;NA;1741;PIEMONTE;16115;1;FRABOSA SOPRANA;CUNEO;NA;nord;1;NA;Italy
644;16116;Govone;8.1;44.8;300;NA;300;PIEMONTE;16116;1;GOVONE;CUNEO;NA;nord;1;NA;Italy
645;16118;Novi Ligure;8.78333;44.77;NA;NA;NA;PIEMONTE;16118;1;NOVI LIGURE;ALESSANDRIA;NA;nord;1;NA;Italy
645;16118;Novi Ligure;8.78333;44.77;190;NA;190;NA;16118;1;NA;NA;NA;NA;NA;NA;Italy
646;16119;Passo dei Giovi;8.93333;44.63;468;NA;468;LIGURIA;16119;1;ISOLA DEL CANTONE;GENOVA;NA;nord;7;NA;Italy
647;16120;Genova/Sestri;8.85;44.42;2;NA;2;LIGURIA;16120;1;SESTRI LEVANTE;GENOVA;NA;nord;7;NA;Italy
648;16121;Genova-Rsd;8.95;44.42;NA;NA;NA;LIGURIA;16121;1;GENOVA;GENOVA;NA;nord;7;NA;Italy
648;16121;Genova-Rsd;8.95;44.42;27;NA;27;NA;16121;1;NA;NA;NA;NA;NA;NA;Italy
649;16122;Albenga;8.11667;44.06;45;NA;45;LIGURIA;16122;1;ORTOVERO;SAVONA;NA;nord;7;NA;Italy
650;16124;Passo della Cisa;9.93333;44.44;1039;NA;1039;TOSCANA;16124;1;PONTREMOLI;MASSA CARRARA;NA;centro;9;NA;Italy
651;16125;Sarzana/Luni;9.98333;44.08;9;NA;9;LIGURIA;16125;1;SARZANA;LA SPEZIA;NA;nord;7;NA;Italy
652;16129;Isola di Palmaria;9.83333;44.03;NA;NA;NA;LIGURIA;16129;1;PORTOVENERE;LA SPEZIA;NA;nord;7;NA;Italy
652;16129;Isola di Palmaria;9.845;44.04;174;NA;174;NA;16129;1;NA;NA;NA;NA;NA;NA;Italy
653;16134;Monte Cimone;10.7;44.21;2165;NA;2165;EMILIA-ROMAGNA;16134;1;RIOLUNATO;MODENA;NA;nord;8;NA;Italy
654;16136;Passo della Porretta;11;44.03;1313;NA;1313;TOSCANA;16136;1;SAMBUCA PISTOIESE;PISTOIA;NA;centro;9;NA;Italy
655;16138;Ferrara;11.61667;44.83;9;NA;9;EMILIA-ROMAGNA;16138;1;FERRARA;FERRARA;NA;nord;8;NA;Italy
656;16140;Bologna/Borgo Panigale;11.3;44.53;36;NA;36;EMILIA-ROMAGNA;16140;1;BOLOGNA;BOLOGNA;NA;nord;8;NA;Italy
657;16142;Rifredo Mugello;11.38333;44.06;882;NA;882;TOSCANA;16142;1;FIRENZUOLA;FIRENZE;NA;centro;9;NA;Italy
658;16146;Punta Marina;12.3;44.45;2;NA;2;EMILIA-ROMAGNA;16146;1;RAVENNA;RAVENNA;NA;nord;8;NA;Italy
659;16147;Forli`;12.06667;44.21;27;NA;27;EMILIA-ROMAGNA;16147;1;FORLI';FORLI-CESENA;NA;nord;8;NA;Italy
660;16148;Cervia;12.3;44.22;6;NA;6;EMILIA-ROMAGNA;16148;1;CESENA;FORLI-CESENA;NA;nord;8;NA;Italy
661;16149;Rimini;12.61667;44.03;12;NA;12;EMILIA-ROMAGNA;16149;1;RIMINI;RIMINI;NA;nord;8;NA;Italy
