SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;
2;Ayas_-_Alpe_Courthoud;1010;OD:1010;45,87379837;7,715099812;NA;NA;VDA;NA;
28;Gressoney-Saint-Jean_-_Capoluogo;1290;OD:1290;45,76750183;7,832520008;NA;NA;VDA;NA;
39;Nus_-_Porliod;1420;OD:1420;45,80179977;7,492980003;NA;NA;VDA;NA;
51;Roisan_-_Moulin_Closellinaz;1560;OD:1560;45,78649902;7,306099892;NA;NA;VDA;NA;
59;Valpelline_-_Prelé;1640;OD:1640;45,83769989;7,369040012;NA;NA;VDA;NA;
61;Valsavarenche_-_Molère;1660;OD:1660;45,64720154;7,202109814;NA;NA;VDA;NA;
68;Pré-Saint-Didier_-_Capoluogo_Valle;1740;OD:1740;45,76319885;6,991919994;NA;NA;VDA;NA;
99;Ayas_-_Mandriou;4400;OD:4400;45,82369995;7,687809944;NA;NA;VDA;NA;
1;Arvier_-_Chamençon;1000;OD:1000;45,67839813;7,107460022;NA;NA;VDA;NA;
3;Aymavilles_-_Centrale_idroelettrica_;1020;OD:1020;45,71080017;7,252590179;NA;NA;VDA;NA;
4;Aymavilles_-_Vieyes;1030;OD:1030;45,64970016;7,250830173;NA;NA;VDA;NA;
5;Bionaz_-_Place_Moulin;1040;OD:1040;45,89970016;7,491960049;NA;NA;VDA;NA;
7;Brusson_-_Extrapieraz;1060;OD:1060;45,78039932;7,697539806;NA;NA;VDA;NA;
9;Chamois_-_Lac_de_Lou;1080;OD:1080;45,8445015;7,622859955;NA;NA;VDA;NA;
10;Champdepraz_-_Chevrère;1090;OD:1090;45,6833992;7,613409996;NA;NA;VDA;NA;
11;Champdepraz_-_Ponte_Dora_Baltea;1100;OD:1100;45,68180084;7,67373991;NA;NA;VDA;NA;
12;Champorcher_-_Chardonney;1110;OD:1110;45,62060165;7,608779907;NA;NA;VDA;NA;
13;Champorcher_-_Rifugio_Dondena;1120;OD:1120;45,61230087;7,551869869;NA;NA;VDA;NA;
14;Cogne_-_Crétaz;1130;OD:1130;45,61449814;7,340509892;NA;NA;VDA;NA;
15;Cogne_-_Lillaz;1140;OD:1140;45,59529877;7,391439915;NA;NA;VDA;NA;
16;Cogne_-_Valnontey;1150;OD:1150;45,58560181;7,337329865;NA;NA;VDA;NA;
17;Cogne_-_Grand-Crot;1160;OD:1160;45,58940125;7,370120049;NA;NA;VDA;NA;
18;Courmayeur_-_Ferrachet;1170;OD:1170;45,86640167;7,028920174;NA;NA;VDA;NA;
19;Courmayeur_-_Lex_Blanche;1190;OD:1190;45,76639938;6,838280201;NA;NA;VDA;NA;
20;Courmayeur_-_Mont_de_la_Saxe;1200;OD:1200;45,81620026;6,980350018;NA;NA;VDA;NA;
21;Courmayeur_-_Pré-de-Bard;1220;OD:1220;45,88359833;7,064730167;NA;NA;VDA;NA;
22;Fénis_-_Clavalité;1230;OD:1230;45,6867981;7,49737978;NA;NA;VDA;NA;
23;Fénis_-_Lavodilec;1240;OD:1240;45,64379883;7,483920097;NA;NA;VDA;NA;
24;Gressan_-_Pila-Leissé;1250;OD:1250;45,66429901;7,308869839;NA;NA;VDA;NA;
25;Gressoney-La-Trinité_-_Alpe_Courtlys;1260;OD:1260;45,86859894;7,807459831;NA;NA;VDA;NA;
26;Gressoney-La-Trinité_-_Eselbode;1270;OD:1270;45,83060074;7,825890064;NA;NA;VDA;NA;
27;Gressoney-La-Trinité_-_Gabiet;1280;OD:1280;45,85219955;7,84882021;NA;NA;VDA;NA;
29;Gressoney-Saint-Jean_-_Weissmatten;1300;OD:1300;45,74840164;7,825069904;NA;NA;VDA;NA;
30;Hône_-_Ponte_Dora_Baltea;1310;OD:1310;45,61719894;7,739960194;NA;NA;VDA;NA;
31;Issime_-_Capoluogo;1320;OD:1320;45,68730164;7,856239796;NA;NA;VDA;NA;
32;La_Thuile_-_Foillex;1330;OD:1330;45,71730042;6,971260071;NA;NA;VDA;NA;
33;La_Thuile_-_La_Grande_Tête;1340;OD:1340;45,68280029;6,915160179;NA;NA;VDA;NA;
34;La_Thuile_-_Villaret;1360;OD:1360;45,70899963;6,955989838;NA;NA;VDA;NA;
35;Lillianes_-_Granges;1370;OD:1370;45,62789917;7,856379986;NA;NA;VDA;NA;
37;Morgex_-_Lavancher;1390;OD:1390;45,79520035;7,017960072;NA;NA;VDA;NA;
40;Nus_-_Les_Iles;1430;OD:1430;45,73889923;7,438210011;NA;NA;VDA;NA;
41;Ollomont_-_By;1440;OD:1440;45,88140106;7,300680161;NA;NA;VDA;NA;
42;Pollein_-_Grande_Place;1450;OD:1450;45,7356987;7,360010147;NA;NA;VDA;NA;
44;Pontboset_-_Fournier;1470;OD:1470;45,604599;7,679920197;NA;NA;VDA;NA;
45;Pontey_-_Ponte_Dora_Baltea;1480;OD:1480;45,74629974;7,616419792;NA;NA;VDA;NA;
46;Pré-Saint-Didier_-_Capoluogo;1490;OD:1490;45,76290131;6,990799904;NA;NA;VDA;NA;
47;Pré-Saint-Didier_-_Plan_Praz;1500;OD:1500;45,75799942;6,952700138;NA;NA;VDA;NA;
48;Rhêmes-Notre-Dame_-_Chanavey;1520;OD:1520;45,5788002;7,123400211;NA;NA;VDA;NA;
