SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;Regione;State;Comments
1;Craco Peschiera;176900;OD:176900;40.3667;16.5153;65;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
2;Torre Accio;177000;OD:177000;40.3925;16.6539;21;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
5;Campomaggiore;179800;OD:179800;40.5486;16.0778;437;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
6;Albano di Lucania;179900;OD:179900;40.5894;16.0378;794;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
7;Sinni SS106;203900;OD:203900;40.1678;16.6514;10;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
8;Cavone SS106;204000;OD:204000;40.2983;16.7267;14;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
9;Basento freatimetro;215900;OD:215900;40.3742;16.7789;8;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
11;Bradano freatimetro;230600;OD:230600;40.425;16.8181;9;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
12;Terra Montonata;233200;OD:233200;40.31;16.7519;10;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
13;Basento SS 106;240400;OD:240400;40.3694;16.7806;8;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
15;Grassano SP;240700;OD:240700;40.6347;16.275;450;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
17;Episcopia-Pizzutello;275500;OD:275500;40.07;16.1036;471;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
18;Castrocucco;275600;OD:275600;40.0011;15.7967;163;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
19;Terranova di Pollino;276500;OD:276500;39.9839;16.2983;1150;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
20;Tursi;276900;OD:276900;40.2517;16.4711;257;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
21;Marsico Nuovo;277300;OD:277300;40.405;15.725;666;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
23;Castelsaraceno;331200;OD:331200;40.1611;15.9861;959;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
25;Roccanova;332500;OD:332500;40.2128;16.2067;610;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
26;Potenza Q.A.;387900;OD:387900;40.6264;15.7969;708;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
29;Oppido Lucano;418000;OD:418000;40.7639;15.9983;580;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
30;Lavello;418100;OD:418100;41.0369;15.7914;314;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
31;Venosa;418200;OD:418200;40.9597;15.8036;406;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
32;Palazzo S.Gervasio;418300;OD:418300;40.9339;15.98;422;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
33;Picerno;419700;OD:419700;40.6372;15.6369;638;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
34;Balvano;419800;OD:419800;40.6494;15.5014;477;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
35;Brienza;419900;OD:419900;40.4794;15.6411;765;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
36;Tito;420000;OD:420000;40.5742;15.6569;728;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
38;Montescaglioso;481200;OD:481200;40.5583;16.7014;82;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
39;Tramutola;54700;OD:54700;40.2986;15.7867;875;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
40;Stigliano;54800;OD:54800;40.3928;16.2236;807;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
41;Noepoli;54900;OD:54900;40.0894;16.3306;575;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
42;Matera;55000;OD:55000;40.6694;16.6017;389;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
43;Lagonegro;55100;OD:55100;40.1344;15.7622;879;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
44;Irsina;55200;OD:55200;40.7417;16.2461;453;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
48;Potenza;83800;OD:83800;40.6328;15.8108;669;Basilicata;Italy;Quota ricavata da dem ** fonte: hisCentral ** Codici OD di His Central ** NA
100;Accettura;100;OD:100;40.5006772266;16.1486295986;799;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
101;Acerenza;101;OD:101;40.8006734953;15.9326469898;833;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
102;Acquafredda;102;OD:102;40.0339926458;15.6668096649;86;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
103;Agromonte_C._C.;103;OD:103;40.0673364119;16.0489373913;500;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
104;Albano_di_Lucania;104;OD:104;40.5819656006;16.0358513363;824;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 179900
105;Aliano;105;OD:105;40.3006782273;16.2316980607;497;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
106;Anzi;106;OD:106;40.5173368977;15.9160287691;1066;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
107;Armento;107;OD:107;40.3006725172;16.0655547873;640;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
108;Baraccone_C.C.;108;OD:108;40.3840161189;16.3313852006;335;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
109;Basentello_C.C.;109;OD:109;40.7673526196;16.3147786413;350;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
110;Basento_Freatimetro;110;OD:110;40.3686516743;16.7809974729;10;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** Codice assegnato dopo unione: 215900
111;Bella_S._Antonio_Casalini;111;OD:111;40.7399756097;15.6091527557;744;Basilicata;Italy; ** fonte: ProtezioneCvile ** Codici OD inventati da Guido Fioravanti ** NA
