SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
1;1000;Domanico;16.2075;39.21638889;749;749;NA;Calabria;OD:1000;Italy
2;1010;Cosenza;16.26527778;39.28694444;269;269;NA;Calabria;OD:1010;Italy
4;1015;Cosenza - Busento;16.25733333;39.29177778;229;229;NA;Calabria;OD:1015;Italy
5;1020;Cerisano;16.17444444;39.28111111;584;584;NA;Calabria;OD:1020;Italy
6;1025;Castiglione Cosentino;16.25908333;39.35641667;196;196;NA;Calabria;OD:1025;Italy
7;1030;San Pietro in Guarano;16.31361111;39.34555556;766;766;NA;Calabria;OD:1030;Italy
8;1040;Rende;16.18027778;39.33111111;392;392;NA;Calabria;OD:1040;Italy
9;1050;Rose;16.2875;39.39833333;396;396;NA;Calabria;OD:1050;Italy
10;1060;Montalto Uffugo;16.13055556;39.40111111;436;436;NA;Calabria;OD:1060;Italy
11;1070;Laghitello C.C.;16.10111111;39.43805556;764;764;NA;Calabria;OD:1070;Italy
12;1080;San Martino di Finita;16.10805556;39.48972222;480;480;NA;Calabria;OD:1080;Italy
13;1090;Camigliatello Silano (ex Federici);16.4372;39.33722222;1284;1284;NA;Calabria;OD:1090;Italy
14;1092;Camigliatello - Monte Curcio;16.42305556;39.31611111;1711;1711;NA;Calabria;OD:1092;Italy
15;1100;Cecita;16.53777778;39.39994444;1173;1173;NA;Calabria;OD:1100;Italy
16;1110;Pinutello C.C.;16.47416667;39.45138889;1124;1124;NA;Calabria;OD:1110;Italy
17;1120;Acri;16.3935;39.48252778;746;746;NA;Calabria;OD:1120;Italy
18;1130;Torano Scalo;16.21;39.49388889;93;93;NA;Calabria;OD:1130;Italy
19;1135;Fitterizzi;16.14083333;39.52027778;208;208;NA;Calabria;OD:1135;Italy
20;1140;Tarsia;16.27277778;39.61722222;203;203;NA;Calabria;OD:1140;Italy
21;1145;Mongrassano Scalo;16.21583333;39.53388889;124;124;NA;Calabria;OD:1145;Italy
22;1150;Santa Sofia d'Epiro;16.32;39.5475;517;517;NA;Calabria;OD:1150;Italy
23;1155;Santa Sofia d'Epiro - Crati;16.2625;39.59138889;68;68;NA;Calabria;OD:1155;Italy
24;1160;Sant'Agata C.C.;16.38388889;39.64027778;99;99;NA;Calabria;OD:1160;Italy
25;1170;Morano Calabro;16.13802778;39.84008333;604;604;NA;Calabria;OD:1170;Italy
26;1180;Castrovillari;16.25416667;39.76555556;199;199;NA;Calabria;OD:1180;Italy
27;1184;Piano Campolongo;16.10666639;39.775;1385;1385;NA;Calabria;OD:1184;Italy
28;1185;Castrovillari - Camerata;16.27191667;39.73308333;63;63;NA;Calabria;OD:1185;Italy
29;1190;Firmo;16.17416667;39.72194444;311;311;NA;Calabria;OD:1190;Italy
