SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;codicePluviometroCentroFunzionale;nomeStazioneCentroFunzionale2;codiceTermometroCentroFunzionale;nomeStazioneCentroFunzionale
3;113650;S.Castrese;13.83625;41.2805;10;10;NA;Campania;OD:113650;Italy;21520;S.Castrese;NA;NA
5;113670;Apice Calore;14.92891667;41.13008333;229;229;NA;Campania;OD:113670;Italy;NA;NA;NA;NA
6;113680;Solopaca;14.571;41.20780556;95;95;NA;Campania;OD:113680;Italy;NA;NA;NA;NA
7;113690;Amorosi;14.44955556;41.19577778;54;54;NA;Campania;OD:113690;Italy;NA;NA;NA;NA
8;113700;Chianche;14.77627778;41.04797222;243;243;NA;Campania;OD:113700;Italy;NA;NA;NA;NA
9;113740;Grazzanise;14.10547222;41.09272222;13;13;NA;Campania;OD:113740;Italy;12243;Grazzanise;12242;Grazzanise
10;113750;Persano Sele;15.03255556;40.54433333;27;27;NA;Campania;OD:113750;Italy;12247;Persano Sele;12246;Persano Sele
11;113760;Benevento;14.76241667;41.142;126;126;NA;Campania;OD:113760;Italy;12251;Benevento;12250;Benevento
12;113770;Montella;15.05030556;40.84791667;513;513;NA;Campania;OD:113770;Italy;12255;Montella;12254;Montella
13;113780;Paduli;14.83480556;41.14822222;147;147;NA;Campania;OD:113780;Italy;12263;Paduli;12262;Paduli
15;113800;Castelluccio;15.33786111;40.58191667;328;328;NA;Campania;OD:113800;Italy;12273;Castelluccio;12272;Castelluccio
16;113810;Montemarano;15.00366667;40.91425;816;816;NA;Campania;OD:113810;Italy;12276;Montemarano;12275;Montemarano
17;113820;Auletta;15.42830556;40.55180556;232;232;NA;Campania;OD:113820;Italy;12267;Auletta;12266;Auletta
18;115250;Contursi;15.22972222;40.6515;125;125;NA;Campania;OD:115250;Italy;NA;NA;NA;NA
19;115260;Buccino;15.3905;40.60783333;181;181;NA;Campania;OD:115260;Italy;NA;NA;NA;NA
20;115270;Ponte Calore;15.13363889;40.55372222;46;46;NA;Campania;OD:115270;Italy;NA;NA;NA;NA
21;115280;Albanella;15.01511111;40.49713889;12;12;NA;Campania;OD:115280;Italy;36570;Albanella;NA;NA
22;115290;Senerchia;15.20569444;40.73861111;525;525;NA;Campania;OD:115290;Italy;12286;Senerchia;12287;Senerchia
23;117760;S.Pietro;14.786972219999999;40.81847222;225;225;NA;Campania;OD:117760;Italy;12290;S.Pietro;12291;S.Pietro
24;117770;S.Mauro;14.63233333;40.76408333;28;28;NA;Campania;OD:117770;Italy;12294;S.Mauro;12295;S.Mauro
25;117780;Ponte Camerelle;14.68483333;40.73425;117;117;NA;Campania;OD:117780;Italy;12298;Ponte Camerelle;NA;NA
26;118250;Romagnano;15.45166667;40.61183333;307;307;NA;Campania;OD:118250;Italy;NA;NA;NA;NA
