SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;COD_RETE
9011;08ALBARETO;ALBARETO;9.69845;44.44688;513;NA;513;Emilia;15
9012;08ALBARETOAGRO;ALBARETOAGRO;10.95149;44.58726;43;NA;43;Emilia;15
9013;08ALFONSINE;ALFONSINE;12.0445;44.49303;7;NA;7;Emilia;15
9014;08ANTOGNANO;ANTOGNANO;10.19889;44.7;285;NA;285;Emilia;15
9015;08ANZOLAEMILIA;ANZOLAEMILIA;11.19651;44.55209;36;NA;36;Emilia;15
9016;08ARCELLO;ARCELLO;9.40146;44.91322;366;NA;366;Emilia;15
9017;08ARCOVEGGIO;ARCOVEGGIO;11.34823;44.54029;36;NA;36;Emilia;15
9018;08ARIANO;ARIANO;12.12245;44.94304;2;NA;2;Emilia;15
9019;08ASTACACASTIGLIO;ASTACACASTIGLIO;10.46915;44.3007;1064;NA;1064;Emilia;15
9020;08BAGANZOLA;BAGANZOLA;10.31889;44.85001;41;NA;41;Emilia;15
9021;08BAGNACAVALLO;BAGNACAVALLO;11.97556;44.41695;10;NA;10;Emilia;15
9022;08BAGNODIPIANO;BAGNODIPIANO;11.27233;44.66545;25;NA;25;Emilia;15
9023;08BAGNOROMAGNA;BAGNOROMAGNA;11.96187;43.83659;523;NA;523;Emilia;15
9024;08BAISO;BAISO;10.60569;44.49908;504;NA;504;Emilia;15
9025;08BALLONE;BALLONE;10.1075;44.47195;790;NA;790;Emilia;15
9026;08BANDO;BANDO;11.90478;44.63348;1;NA;1;Emilia;15
9027;08BANNONE;BANNONE;10.36611;44.65723;169;NA;169;Emilia;15
9028;08BANZOLA;BANZOLA;10.15472;44.68556;282;NA;282;Emilia;15
9029;08BARBIANO;BARBIANO;10.23581;44.66738;323;NA;323;Emilia;15
9030;08BARDI;BARDI;9.73281;44.6338;661;NA;661;Emilia;15
9031;08BARDICENTRALE;BARDICENTRALE;9.70956;44.61329;473;NA;473;Emilia;15
9032;08BARIGAZZO;BARIGAZZO;10.65222;44.26667;1369;NA;1369;Emilia;15
9033;08BASILICAGOIANO;BASILICAGOIANO;10.40556;44.70442;112;NA;112;Emilia;15
9034;08BAURA;BAURA;11.72015;44.8485;6;NA;6;Emilia;15
9035;08BAZZANO;BAZZANO;11.08399;44.50845;76;NA;76;Emilia;15
9036;08BEDONIA;BEDONIA;9.62672;44.50747;527;NA;527;Emilia;15
9037;08BEDUZZO;BEDUZZO;10.16914;44.53403;435;NA;435;Emilia;15
9038;08BENEDELLOCANTON;BENEDELLOCANTON;10.86889;44.36666;520;NA;520;Emilia;15
9039;08BENVIGNANTE;BENVIGNANTE;11.75596;44.66807;1;NA;1;Emilia;15
9040;08BERCETO;BERCETO;9.98299;44.51049;731;NA;731;Emilia;15
9041;08BERRA;BERRA;11.99771;44.9788;2;NA;2;Emilia;15
9042;08BETTOLA;BETTOLA;9.63361;44.79552;601;NA;601;Emilia;15
9043;08BEVILACQUA;BEVILACQUA;11.90738;44.71814;1;NA;1;Emilia;15
