SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
1;Gorgazzo sorgente;A001;OD:A001;46.0399;12.4967;68;Italy;FVG;Quota ricavata da dem
2;GORGAZZO;A002;OD:A002;46.038;12.4951;68;Italy;FVG;Quota ricavata da dem
3;Molinetto c/o impianto ittiogenico;A003;OD:A003;46.0111;12.4757;51;Italy;FVG;Quota ricavata da dem
4;FIASCHETTI;A004;OD:A004;45.9851;12.4828;33;Italy;FVG;Quota ricavata da dem
5;MARSURE BARES;A007;OD:A007;46.0873;12.601;188;Italy;FVG;Quota ricavata da dem
7;VAL DEI SASS;A009;OD:A009;46.1155;12.4919;1777;Italy;FVG;Quota ricavata da dem
8;SACILE PONTE LACCHIN;A021;OD:A021;45.9509;12.502;24;Italy;FVG;Quota ricavata da dem
9;Ponte della Muda;A023;OD:A023;45.9476;12.4467;42;Italy;FVG;Quota ricavata da dem
10;AVIANO;A050;OD:A050;46.0648;12.6026;150;Italy;FVG;Quota ricavata da dem
11;AVIANO CASA MARCHI;A051;OD:A051;46.0707;12.622;171;Italy;FVG;Quota ricavata da dem
12;San Cassiano;A100;OD:A100;45.8767;12.5349;15;Italy;FVG;Quota ricavata da dem
13;BRUGNERA;A101;OD:A101;45.8992;12.5231;15;Italy;FVG;Quota ricavata da dem
14;Tremeacque ponte destro;A102;OD:A102;45.8284;12.5686;13;Italy;FVG;Quota ricavata da dem
15;TRAMONTI DI SOPRA;A201;OD:A201;46.3098;12.7889;506;Italy;FVG;Quota ricavata da dem
16;TRAMONTI DI SOTTO SCUOLE NUOVE;A202;OD:A202;46.2982;12.7931;373;Italy;FVG;Quota ricavata da dem
17;MALGA REST;A204;OD:A204;46.3479;12.7989;1331;Italy;FVG;Quota ricavata da dem
18;CA' ZUL;A220;OD:A220;46.2922;12.7162;707;Italy;FVG;Quota ricavata da dem
19;CA' SELVA;A221;OD:A221;46.2585;12.7008;788;Italy;FVG;Quota ricavata da dem
20;CHIEVOLIS;A223;OD:A223;46.2539;12.7331;368;Italy;FVG;Quota ricavata da dem
21;CAMPONE;A224;OD:A224;46.2595;12.8313;566;Italy;FVG;Quota ricavata da dem
22;MALGA VALINE ALTA;A226;OD:A226;46.236;12.6751;1350;Italy;FVG;Quota ricavata da dem
23;PONTE RACLI;A240;OD:A240;46.2412;12.7499;479;Italy;FVG;Quota ricavata da dem
24;PREPLANS;A241;OD:A241;46.2179;12.773;334;Italy;FVG;Quota ricavata da dem
25;BORGO CILIA;A242;OD:A242;46.2259;12.795;798;Italy;FVG;Quota ricavata da dem
26;VALDESTALI;A243;OD:A243;46.2075;12.7572;505;Italy;FVG;Quota ricavata da dem
27;POFFABRO;A244;OD:A244;46.2165;12.7095;519;Italy;FVG;Quota ricavata da dem
28;CAVASSO NUOVO;A260;OD:A260;46.2028;12.7747;263;Italy;FVG;Quota ricavata da dem
29;MANIAGO PONTE SS. 464;A261;OD:A261;46.1739;12.7188;259;Italy;FVG;Quota ricavata da dem
30;FRATTA VIVAIO FORESTALE;A262;OD:A262;46.1785;12.727;289;Italy;FVG;Quota ricavata da dem
31;Colle ponte SS 464;A263;OD:A263;46.1636;12.8151;224;Italy;FVG;Quota ricavata da dem
32;COLLE;A264;OD:A264;46.1688;12.8034;215;Italy;FVG;Quota ricavata da dem
33;ARBA;A280;OD:A280;46.1435;12.8043;205;Italy;FVG;Quota ricavata da dem
34;Tesis;A281;OD:A281;46.1251;12.7889;181;Italy;FVG;Quota ricavata da dem
