SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName_CentroFunzionale;FullSiteCode;State
239;108300;Aniene a Lunghezza;12.6675;41.9272;32;32;NA;Lazio;Lunghezza;OD:108300;Italy
240;111600;Roma Macao;12.5072;41.9039;56;56;NA;Lazio;Roma Macao;OD:111600;Italy
243;119600;Aniene a Ponte Lucano;12.7631;41.9558;53;53;NA;Lazio;Aniene a Ponte Lucano;OD:119600;Italy
249;138400;Aniene a Marano Equo;13.0214;41.9939;368;368;NA;Lazio;Marano Equo;OD:138400;Italy
253;140300;Aniene a Subiaco;13.0931;41.9228;437;437;NA;Lazio;Subiaco;OD:140300;Italy
254;140900;Rio Galeria;12.3419;41.8169;28;28;NA;Lazio;Rio Galeria;OD:140900;Italy
258;143200;Aniene a Centrale Acquoria;12.7853;41.9631;116;116;NA;Lazio;Aniene a Centrale Acquoria;OD:143200;Italy
260;153400;Castello Vici;12.2792;42.0961;173;173;NA;Lazio;Castello Vici;OD:153400;Italy
261;163800;Fosso Cremera a Labaro;12.4931;41.9872;18;18;NA;Lazio;Fosso Cremera a Labaro;OD:163800;Italy
262;163900;Fosso Corese a Passo Corese;12.6522;42.1517;39;39;NA;Lazio;Fosso Corese a Passo Corese;OD:163900;Italy
263;164000;Nerola;12.7872;42.1611;333;333;NA;Lazio;Nerola;OD:164000;Italy
264;1800;La Storta;12.3778;42.0039;161;161;NA;Lazio;La Storta;OD:1800;Italy
265;185400;Fosso di Pratolungo;12.5989;41.9364;22;22;NA;Lazio;Pratolungo;OD:185400;Italy
267;1900;Flaminio;12.4561;42.0083;67;67;NA;Lazio;Flaminio;OD:1900;Italy
268;192100;Fondi;13.4189;41.3422;7;7;NA;Lazio;Fondi;OD:192100;Italy
269;198900;Moscarello a Borgo S Maria;12.8117;41.4631;18;18;NA;Lazio;Borgo S Maria;OD:198900;Italy
270;199100;Arrone a Maccarese;12.2333;41.8825;10;10;NA;Lazio;Maccarese;OD:199100;Italy
271;199200;Fiora a Pitigliano;11.5989;42.5936;166;166;NA;Lazio;Fiora a Pitigliano;OD:199200;Italy
272;199300;Fiora a Montalto di Castro;11.5992;42.3539;11;11;NA;Lazio;Fiora a Montalto di Castro;OD:199300;Italy
273;199400;Marta a Tarquinia;11.7425;42.2569;50;50;NA;Lazio;Tarquinia;OD:199400;Italy
274;199500;Montefiascone;12.0228;42.53;516;516;NA;Lazio;Montefiascone;OD:199500;Italy
