SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
1;Airole;AIRO0;OD:AIRO0;43.87309;7.54478;208;Italy;Liguria;Quota ricavata da dem
2;Alassio;ALASS;OD:ALASS;44.00624;8.1693;12;Italy;Liguria;Quota ricavata da dem
3;Albenga;ALBG0;OD:ALBG0;44.04899;8.21262;10;Italy;Liguria;Quota ricavata da dem
4;Alpicella;ALPI0;OD:ALPI0;44.40667;8.52604;440;Italy;Liguria;Quota ricavata da dem
6;Alassio;ALSS0;OD:ALSS0;44.00624;8.1693;12;Italy;Liguria;Quota ricavata da dem
7;Merelli;AMERE;OD:AMERE;43.88137;7.84759;130;Italy;Liguria;Quota ricavata da dem
8;Colonia Arnaldi;ARDI0;OD:ARDI0;44.4084;9.18148;494;Italy;Liguria;Quota ricavata da dem
9;Arenzano;AREN0;OD:AREN0;44.40416;8.67859;36;Italy;Liguria;Quota ricavata da dem
10;Arlia;ARL20;OD:ARL20;44.26209;10.13459;481;Italy;Liguria;Quota ricavata da dem
11;Arlia;ARLI0;OD:ARLI0;44.26209;10.13459;481;Italy;Liguria;Quota ricavata da dem
13;Colonia Arnaldi;ARNAL;OD:ARNAL;44.4084;9.18148;494;Italy;Liguria;Quota ricavata da dem
14;Pogli d'Ortovero;ARPO0;OD:ARPO0;44.05445;8.06393;126;Italy;Liguria;Quota ricavata da dem
15;Aulla;AULL0;OD:AULL0;44.2073;9.96913;108;Italy;Liguria;Quota ricavata da dem
17;Soliera;AULS0;OD:AULS0;44.20281;10.06217;177;Italy;Liguria;Quota ricavata da dem
18;Bagnone;BAGN0;OD:BAGN0;44.32;10;358;Italy;Liguria;Quota ricavata da dem
19;Balestrino;BAL20;OD:BAL20;44.12362;8.16945;279;Italy;Liguria;Quota ricavata da dem
20;Balestrino;BALE0;OD:BALE0;44.12362;8.16945;279;Italy;Liguria;Quota ricavata da dem
21;Piana Battolla;BATT0;OD:BATT0;44.19247;9.8515;53;Italy;Liguria;Quota ricavata da dem
24;Bestagno;BESTA;OD:BESTA;43.9333;8.0007;143;Italy;Liguria;Quota ricavata da dem
25;Bagnone;BGNN0;OD:BGNN0;44.31629;9.99485;326;Italy;Liguria;Quota ricavata da dem
26;Bagnone;BGNNE;OD:BGNNE;44.32;10;358;Italy;Liguria;Quota ricavata da dem
27;La Presa;BLPR0;OD:BLPR0;44.44088;9.04709;290;Italy;Liguria;Quota ricavata da dem
28;Borgomaro;BMAR0;OD:BMAR0;43.97685;7.94569;323;Italy;Liguria;Quota ricavata da dem
29;Bola di Tresana;BOLA0;OD:BOLA0;44.23423;9.89667;394;Italy;Liguria;Quota ricavata da dem
30;Bolsine;BOLS0;OD:BOLS0;44.37234;8.57322;78;Italy;Liguria;Quota ricavata da dem
31;Bolzaneto;BOLZ0;OD:BOLZ0;44.45391;8.8949;66;Italy;Liguria;Quota ricavata da dem
32;Genova - Bolzaneto;BOLZA;OD:BOLZA;44.4553;8.89561;66;Italy;Liguria;Quota ricavata da dem
34;Baracca Bracco;BRAC0;OD:BRAC0;44.24489;9.57999;616;Italy;Liguria;Quota ricavata da dem
35;Brugneto Diga;BRUG0;OD:BRUG0;44.53634;9.20492;777;Italy;Liguria;Quota ricavata da dem
38;Busalla;BSLL0;OD:BSLL0;44.5697;8.94892;361;Italy;Liguria;Quota ricavata da dem
39;Bestagno;BSTG0;OD:BSTG0;43.9341;8.00035;143;Italy;Liguria;Quota ricavata da dem
40;Torri;BTOR0;OD:BTOR0;43.83784;7.5538;168;Italy;Liguria;Quota ricavata da dem
41;Genova - Bolzaneto;BTRS0;OD:BTRS0;44.4553;8.89561;66;Italy;Liguria;Quota ricavata da dem
44;Brugnato;BVARA;OD:BVARA;44.23132;9.71552;124;Italy;Liguria;Quota ricavata da dem
45;Cabanne;CABA0;OD:CABA0;44.48333;9.35222;974;Italy;Liguria;Quota ricavata da dem
47;Caderiva;CADE0;OD:CADE0;44.42636;8.94755;65;Italy;Liguria;Quota ricavata da dem
48;Calvo;CAGT0;OD:CAGT0;43.82936;7.5549;104;Italy;Liguria;Quota ricavata da dem
49;Cairo Montenotte;CAIR0;OD:CAIR0;44.38331;8.27494;348;Italy;Liguria;Quota ricavata da dem
51;Calamazza;CALA0;OD:CALA0;44.19802;9.95015;131;Italy;Liguria;Quota ricavata da dem
52;Calamazza;CALAM;OD:CALAM;44.19802;9.95015;131;Italy;Liguria;Quota ricavata da dem
55;Calvo;CALV0;OD:CALV0;43.82936;7.5549;104;Italy;Liguria;Quota ricavata da dem
56;Canellona;CANE0;OD:CANE0;44.45;8.73;346;Italy;Liguria;Quota ricavata da dem
57;Carasco;CARAS;OD:CARAS;44.34615;9.34825;39;Italy;Liguria;Quota ricavata da dem
58;Ponte Carrega;CARRE;OD:CARRE;44.44;8.96;62;Italy;Liguria;Quota ricavata da dem
60;Casarza Ligure;CASR0;OD:CASR0;44.29405;9.45258;233;Italy;Liguria;Quota ricavata da dem
62;Castelvecchio di R. B.;CAST0;OD:CAST0;44.12951;8.11853;513;Italy;Liguria;Quota ricavata da dem
65;Castiglione Chiavarese;CCAS0;OD:CCAS0;44.27501;9.51734;388;Italy;Liguria;Quota ricavata da dem
