SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
1;Abbiategrasso;ABBIATEGRASSO;OD:ABBIATEGRASSO;45.39499597;8.92700011;118;Italy;Lombardia;Quota ricavata da dem
2;Agaro;AGARO;OD:AGARO;46.31736335;8.30196405;2332;Italy;Lombardia;Quota ricavata da dem
3;Airolo;AIROLO;OD:AIROLO;46.53403514;8.61864821;NA;Italy;Lombardia;Quota ricavata da dem
4;Alpe_Gera;ALPE_GERA;OD:ALPE_GERA;46.31296617;9.94571565;2182;Italy;Lombardia;Quota ricavata da dem
5;Alpino;ALPINO;OD:ALPINO;45.86734937;8.50197122;725;Italy;Lombardia;Quota ricavata da dem
6;Angolo_Terme;ANGOLO_TERME;OD:ANGOLO_TERME;45.90067774;10.13538296;507;Italy;Lombardia;Quota ricavata da dem
7;Aprica;APRICA;OD:APRICA;46.1535925;10.14712227;1264;Italy;Lombardia;Quota ricavata da dem
8;Ardenno;ARDENNO;OD:ARDENNO;46.15645459;9.64297001;317;Italy;Lombardia;Quota ricavata da dem
9;Arnoga;ARNOGA;OD:ARNOGA;46.49092695;10.25340583;1751;Italy;Lombardia;Quota ricavata da dem
10;Asso;ASSO;OD:ASSO;45.86992384;9.26203741;552;Italy;Lombardia;Quota ricavata da dem
11;Azzate;AZZATE;OD:AZZATE;45.77982168;8.79938835;325;Italy;Lombardia;Quota ricavata da dem
13;Barbellino;BARBELLINO;OD:BARBELLINO;46.06457175;10.04260118;1867;Italy;Lombardia;Quota ricavata da dem
14;Bellagio;BELLAGIO;OD:BELLAGIO;45.97196193;9.24504414;271;Italy;Lombardia;Quota ricavata da dem
15;Bellano;BELLANO;OD:BELLANO;46.04177736;9.30046994;243;Italy;Lombardia;Quota ricavata da dem
16;Bellinzona;BELLINZONA;OD:BELLINZONA;46.20068746;9.00755512;NA;Italy;Lombardia;Quota ricavata da dem
17;Bereguardo;BEREGUARDO;OD:BEREGUARDO;45.25889643;9.02539245;97;Italy;Lombardia;Quota ricavata da dem
18;Bergamo-San_Fermo;BERGAMO;OD:BERGAMO;45.70190143;9.68621101;260;Italy;Lombardia;Quota ricavata da dem
19;Bessimo;BESSIMO;OD:BESSIMO;45.87060792;10.15604045;224;Italy;Lombardia;Quota ricavata da dem
20;Bienno;BIENNO;OD:BIENNO;45.93988682;10.28942114;444;Italy;Lombardia;Quota ricavata da dem
21;Borca_Macugnaga;BORCA_MACUGNAGA;OD:BORCA_MACUGNAGA;45.96735327;7.98527845;1892;Italy;Lombardia;Quota ricavata da dem
