SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;State;Comments
5;5;Camponocecchio;12.980329;43.406441;189;NA;189;Marche;Camponocecchio;Camponocecchio;OD:5;Camponocecchio;Genga;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
7;7;Montepolesco;13.388394;43.475643;84;NA;84;Marche;Montepolesco;Montepolesco;OD:7;Montepolesco;Osimo;AN;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
9;9;San Severino Marche;13.188516;43.229492;220;NA;220;Marche;San Severino Marche;San Severino Marche;OD:9;San Severino Marche;San Severino Marche;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
12;12;Morrovalle;13.590132;43.260944;58;NA;58;Marche;Morrovalle;Morrovalle;OD:12;Villa San Filippo;Monte San Giusto;MC;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
14;14;S. Maria in Arzilla;12.894738;43.839886;53;NA;53;Marche;S. Maria in Arzilla;S. Maria in Arzilla;OD:14;Santa Maria in Arzilla;Pesaro;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
15;15;Ca' Mazzasette;12.618737;43.794472;112;NA;112;Marche;Ca' Mazzasette;Ca' Mazzasette;OD:15;Ca' Mazzasette;Montecalvo in Foglia;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
16;16;Montelabbate;12.786904;43.851849;43;NA;43;Marche;Montelabbate;Montelabbate;OD:16;Montecchio;Montelabbate;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
17;17;Calcinelli;12.967556;43.762669;36;NA;36;Marche;Calcinelli;Calcinelli;OD:17;Lucrezia;Cartoceto;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
18;18;San Michele al Fiume;13.014565;43.664974;92;NA;92;Marche;San Michele al Fiume;San Michele al Fiume;OD:18;San Michele al Fiume;Mondavio;PU;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
19;19;Servigliano;13.498032;43.085857;197;NA;197;Marche;Servigliano;Servigliano;OD:19;Piane di Falerone;Servigliano;FM;Italy;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche
