SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
1;COLLE LOMBARDA;001;OD:001;44.207915;7.147733;2334;Italy;Piemonte;Quota ricavata da dem
2;FORMAZZA;010;OD:010;46.433411;8.358262;2385;Italy;Piemonte;Quota ricavata da dem
3;ACQUI TERME;101;OD:101;44.678664;8.479704;198;Italy;Piemonte;Quota ricavata da dem
4;PRALORMO;102;OD:102;44.853681;7.912513;307;Italy;Piemonte;Quota ricavata da dem
5;MONTALDO SCARAMPI;103;OD:103;44.829305;8.259033;226;Italy;Piemonte;Quota ricavata da dem
6;LUSERNA S. GIOVANNI;105;OD:105;44.812815;7.241162;488;Italy;Piemonte;Quota ricavata da dem
7;MONTE MALANOTTE;106;OD:106;44.259454;7.793629;1506;Italy;Piemonte;Quota ricavata da dem
8;BOVES;107;OD:107;44.335107;7.562019;573;Italy;Piemonte;Quota ricavata da dem
9;MONTE FRAITEVE;108;OD:108;44.976889;6.861176;2494;Italy;Piemonte;Quota ricavata da dem
10;CUMIANA;109;OD:109;44.9637;7.390844;325;Italy;Piemonte;Quota ricavata da dem
11;VEROLENGO;110;OD:110;45.185042;8.01098;165;Italy;Piemonte;Quota ricavata da dem
12;LANZO;111;OD:111;45.2888;7.492759;565;Italy;Piemonte;Quota ricavata da dem
13;ALBANO VERCELLESE;112;OD:112;45.437997;8.388335;155;Italy;Piemonte;Quota ricavata da dem
14;BORGOFRANCO D'IVREA;113;OD:113;45.514302;7.847817;282;Italy;Piemonte;Quota ricavata da dem
15;CAMERI;114;OD:114;45.548011;8.693801;152;Italy;Piemonte;Quota ricavata da dem
16;ALESSANDRIA LOBBI;115;OD:115;44.937081;8.704011;88;Italy;Piemonte;Quota ricavata da dem
17;MOMBARCARO;116;OD:116;44.468365;8.085443;731;Italy;Piemonte;Quota ricavata da dem
18;DOMODOSSOLA;117;OD:117;46.103003;8.302292;255;Italy;Piemonte;Quota ricavata da dem
19;MOTTARONE;118;OD:118;45.881619;8.453694;1366;Italy;Piemonte;Quota ricavata da dem
20;CASALE MONFERRATO;119;OD:119;45.13224;8.504171;105;Italy;Piemonte;Quota ricavata da dem
21;BARDONECCHIA PRANUDIN;012;OD:012;45.104594;6.704337;1993;Italy;Piemonte;Quota ricavata da dem
22;PINO TORINESE;120;OD:120;45.04134;7.765183;490;Italy;Piemonte;Quota ricavata da dem
23;CAPANNE DI COSOLA;121;OD:121;44.675551;9.200151;1449;Italy;Piemonte;Quota ricavata da dem
24;COLLE SAN BERNARDO;122;OD:122;44.178048;8.047958;913;Italy;Piemonte;Quota ricavata da dem
25;OROPA;123;OD:123;45.626759;7.981253;1222;Italy;Piemonte;Quota ricavata da dem
26;MEUGLIANO;124;OD:124;45.473686;7.781619;638;Italy;Piemonte;Quota ricavata da dem
27;BERTODASCO;125;OD:125;45.439409;7.409723;855;Italy;Piemonte;Quota ricavata da dem
28;NERAISSA;126;OD:126;44.324612;7.151676;1343;Italy;Piemonte;Quota ricavata da dem
29;PONZONE BRIC BERTON;127;OD:127;44.518414;8.539126;681;Italy;Piemonte;Quota ricavata da dem
30;VARZO;128;OD:128;46.249606;8.193045;1763;Italy;Piemonte;Quota ricavata da dem
31;DRUOGNO;129;OD:129;46.134148;8.426022;924;Italy;Piemonte;Quota ricavata da dem
32;BORGOMANERO;130;OD:130;45.688235;8.460267;299;Italy;Piemonte;Quota ricavata da dem
33;POIRINO BANNA;131;OD:131;44.923986;7.829636;239;Italy;Piemonte;Quota ricavata da dem
34;VARALLO;132;OD:132;45.819585;8.273839;592;Italy;Piemonte;Quota ricavata da dem
35;ACCEGLIO;133;OD:133;44.485154;6.981433;1645;Italy;Piemonte;Quota ricavata da dem
36;SEROLE BRIC PUSCHERA;135;OD:135;44.563002;8.258215;766;Italy;Piemonte;Quota ricavata da dem
37;PERLO;136;OD:136;44.3303;8.083452;754;Italy;Piemonte;Quota ricavata da dem
38;SOMANO;137;OD:137;44.540937;8.017379;625;Italy;Piemonte;Quota ricavata da dem
39;ASTI TANARO;138;OD:138;44.884886;8.212291;116;Italy;Piemonte;Quota ricavata da dem
40;MONTECHIARO D'ASTI;139;OD:139;45.00704;8.101097;225;Italy;Piemonte;Quota ricavata da dem
41;COSTIGLIOLE SALUZZO;140;OD:140;44.557648;7.495934;442;Italy;Piemonte;Quota ricavata da dem
42;CAPANNE MARCAROLO;141;OD:141;44.563186;8.768246;735;Italy;Piemonte;Quota ricavata da dem
43;AVIGLIANA;142;OD:142;45.093913;7.394816;342;Italy;Piemonte;Quota ricavata da dem
44;BORGONE;143;OD:143;45.11643;7.243961;426;Italy;Piemonte;Quota ricavata da dem
45;PIETRASTRETTA;146;OD:146;45.14194;7.054042;732;Italy;Piemonte;Quota ricavata da dem
46;FINIERE;148;OD:148;45.116951;6.966265;1041;Italy;Piemonte;Quota ricavata da dem
47;VAL CLAREA;149;OD:149;45.141211;6.964779;1188;Italy;Piemonte;Quota ricavata da dem
48;SALBERTRAND;150;OD:150;45.071209;6.894004;1150;Italy;Piemonte;Quota ricavata da dem
49;GAD;151;OD:151;45.042714;6.840287;1101;Italy;Piemonte;Quota ricavata da dem
50;PRERICHARD;152;OD:152;45.075005;6.716423;1358;Italy;Piemonte;Quota ricavata da dem
51;ALPE DEVERO;154;OD:154;46.31601;8.260078;1652;Italy;Piemonte;Quota ricavata da dem
52;CRODO;156;OD:156;46.22655;8.323771;558;Italy;Piemonte;Quota ricavata da dem
53;PIZZANCO;157;OD:157;46.124028;8.17777;1015;Italy;Piemonte;Quota ricavata da dem
54;SAUZE CESANA;158;OD:158;44.894544;6.918892;1954;Italy;Piemonte;Quota ricavata da dem
55;CURSOLO;159;OD:159;46.098716;8.56737;733;Italy;Piemonte;Quota ricavata da dem
56;ALPE CHEGGIO;160;OD:160;46.085088;8.115682;1617;Italy;Piemonte;Quota ricavata da dem
57;ANZINO;162;OD:162;45.986732;8.155971;623;Italy;Piemonte;Quota ricavata da dem
58;CASTELL'ALFERO;174;OD:174;44.988121;8.222917;143;Italy;Piemonte;Quota ricavata da dem
59;VIGNALE MONFERRATO;175;OD:175;45.018353;8.408355;173;Italy;Piemonte;Quota ricavata da dem
60;SAN SALVATORE MONFERRATO;176;OD:176;44.99294;8.566458;199;Italy;Piemonte;Quota ricavata da dem
61;MASIO TANARO;177;OD:177;44.871552;8.41062;108;Italy;Piemonte;Quota ricavata da dem
62;ALESSANDRIA BORMIDA;178;OD:178;44.905515;8.645525;91;Italy;Piemonte;Quota ricavata da dem
63;SANTENA BANNA;180;OD:180;44.944598;7.782001;236;Italy;Piemonte;Quota ricavata da dem
64;CARCOFORO;182;OD:182;45.907224;8.050604;1378;Italy;Piemonte;Quota ricavata da dem
65;RASSA;185;OD:185;45.769478;8.016379;1085;Italy;Piemonte;Quota ricavata da dem
66;PRAY SESSERA;188;OD:188;45.674006;8.221645;504;Italy;Piemonte;Quota ricavata da dem
67;TRIVERO;189;OD:189;45.67499;8.147638;1045;Italy;Piemonte;Quota ricavata da dem
68;LE SELLE;019;OD:019;45.05439;6.917355;2161;Italy;Piemonte;Quota ricavata da dem
69;PIEDICAVALLO;191;OD:191;45.689378;7.956293;1108;Italy;Piemonte;Quota ricavata da dem
70;CARMAGNOLA;195;OD:195;44.886173;7.686048;234;Italy;Piemonte;Quota ricavata da dem
71;VERCELLI;198;OD:198;45.324569;8.389506;132;Italy;Piemonte;Quota ricavata da dem
72;PIAN DELLE BARACCHE;002;OD:002;44.548832;7.133438;2282;Italy;Piemonte;Quota ricavata da dem
73;RIFUGIO VACCARONE;020;OD:020;45.154212;6.916494;2677;Italy;Piemonte;Quota ricavata da dem
74;PALESTRO SESIA;200;OD:200;45.284985;8.540152;115;Italy;Piemonte;Quota ricavata da dem
75;MASSERANO;201;OD:201;45.55791;8.255167;239;Italy;Piemonte;Quota ricavata da dem
76;CALIZZANO;203;OD:203;44.236251;8.118399;681;Italy;Piemonte;Quota ricavata da dem
77;SAN DAMIANO BORBORE;204;OD:204;44.841978;8.081626;153;Italy;Piemonte;Quota ricavata da dem
78;NIZZA MONFERRATO;207;OD:207;44.76457;8.345925;139;Italy;Piemonte;Quota ricavata da dem
79;CAMERANA BORMIDA;208;OD:208;44.43601;8.156941;417;Italy;Piemonte;Quota ricavata da dem
80;TONENGO;209;OD:209;45.115502;8.005533;413;Italy;Piemonte;Quota ricavata da dem
81;CREA;211;OD:211;45.093703;8.277696;236;Italy;Piemonte;Quota ricavata da dem
82;BASALUZZO;212;OD:212;44.762;8.680974;133;Italy;Piemonte;Quota ricavata da dem
83;ARQUATA SCRIVIA;213;OD:213;44.682533;8.880944;320;Italy;Piemonte;Quota ricavata da dem
84;ISOLA S. ANTONIO PO;216;OD:216;45.036157;8.821952;73;Italy;Piemonte;Quota ricavata da dem
85;CASTELLAR PONZANO;217;OD:217;44.827294;8.846694;151;Italy;Piemonte;Quota ricavata da dem
86;MONTECASTELLO TANARO;218;OD:218;44.946679;8.684428;87;Italy;Piemonte;Quota ricavata da dem
87;CASTELLANIA;219;OD:219;44.798542;8.931128;371;Italy;Piemonte;Quota ricavata da dem
88;ISOLA S. ANTONIO;220;OD:220;45.020719;8.85382;76;Italy;Piemonte;Quota ricavata da dem
89;GUAZZORA SCRIVIA;221;OD:221;45.028686;8.876344;75;Italy;Piemonte;Quota ricavata da dem
90;ROCCAFORTE LIGURE;222;OD:222;44.678587;9.023012;760;Italy;Piemonte;Quota ricavata da dem
91;NOVI LIGURE;225;OD:225;44.785621;8.757333;168;Italy;Piemonte;Quota ricavata da dem
92;BASALUZZO ORBA;226;OD:226;44.767492;8.671694;125;Italy;Piemonte;Quota ricavata da dem
93;BRIGNANO FRASCATA;227;OD:227;44.803213;9.030282;433;Italy;Piemonte;Quota ricavata da dem
94;FRACONALTO;228;OD:228;44.591896;8.879731;640;Italy;Piemonte;Quota ricavata da dem
95;SARDIGLIANO;229;OD:229;44.756115;8.906681;266;Italy;Piemonte;Quota ricavata da dem
96;OVADA;230;OD:230;44.647301;8.635638;193;Italy;Piemonte;Quota ricavata da dem
97;PARETO;231;OD:231;44.527308;8.389323;497;Italy;Piemonte;Quota ricavata da dem
98;PIVERONE;234;OD:234;45.430487;8.03351;244;Italy;Piemonte;Quota ricavata da dem
99;PASSOBREVE CERVO;235;OD:235;45.630475;8.038148;609;Italy;Piemonte;Quota ricavata da dem
100;MOMBALDONE BORMIDA;236;OD:236;44.568949;8.335125;206;Italy;Piemonte;Quota ricavata da dem
101;LAGO AGNEL;237;OD:237;45.467888;7.139207;2326;Italy;Piemonte;Quota ricavata da dem
102;PIAMPRATO;239;OD:239;45.556817;7.573003;1609;Italy;Piemonte;Quota ricavata da dem
103;TRAVERSELLA;240;OD:240;45.528227;7.708164;1174;Italy;Piemonte;Quota ricavata da dem
104;CAVALLARIA;241;OD:241;45.517119;7.808312;1088;Italy;Piemonte;Quota ricavata da dem
105;CESANA THURAS;242;OD:242;44.88959;6.844015;1982;Italy;Piemonte;Quota ricavata da dem
106;PONZONE CIMAFERLE;243;OD:243;44.553641;8.492302;636;Italy;Piemonte;Quota ricavata da dem
