SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;Regione;Comments
577;Sarcidano (Colonia Penale);1;OD:001;39.8099;9.1448;682;Italy;Sardegna;Quota ricavata da dem
578;Is Acquas (Sarcidano);2;OD:002;39.762;9.1155;430;Italy;Sardegna;Quota ricavata da dem
579;Isili;3;OD:003;39.7399;9.1065;506;Italy;Sardegna;Quota ricavata da dem
580;Gergei;4;OD:004;39.6998;9.1008;356;Italy;Sardegna;Quota ricavata da dem
581;Villamar F.C.;6;OD:006;39.6181;8.9598;108;Italy;Sardegna;Quota ricavata da dem
582;Lunamatrona F.C.;7;OD:007;39.6513;8.8973;186;Italy;Sardegna;Quota ricavata da dem
583;Mandas F.C.;8;OD:008;39.6606;9.1307;483;Italy;Sardegna;Quota ricavata da dem
584;Segariu;9;OD:009;39.5629;8.9829;135;Italy;Sardegna;Quota ricavata da dem
585;Sanluri (O.N.C.);14;OD:014;39.5273;8.8498;63;Italy;Sardegna;Quota ricavata da dem
586;Monti Mannu (Caserma);15;OD:015;39.3954;8.6637;447;Italy;Sardegna;Quota ricavata da dem
587;Villacidro F.C.;16;OD:016;39.463;8.7422;192;Italy;Sardegna;Quota ricavata da dem
588;Nuraminis;19;OD:019;39.4427;9.0134;99;Italy;Sardegna;Quota ricavata da dem
589;Villasor FF.SS.;20;OD:020;39.3813;8.9432;26;Italy;Sardegna;Quota ricavata da dem
590;Vallermosa;24;OD:024;39.3632;8.7956;71;Italy;Sardegna;Quota ricavata da dem
591;Gesico F.C.;25;OD:025;39.6011;9.129;365;Italy;Sardegna;Quota ricavata da dem
592;Guasila;26;OD:026;39.5622;9.0466;192;Italy;Sardegna;Quota ricavata da dem
593;Senorbi' F.C.;27;OD:027;39.5311;9.1342;189;Italy;Sardegna;Quota ricavata da dem
594;S.Andrea Frius;30;OD:030;39.4786;9.1686;305;Italy;Sardegna;Quota ricavata da dem
595;Barrali;31;OD:031;39.4845;9.0984;138;Italy;Sardegna;Quota ricavata da dem
596;Donori F.C.;32;OD:032;39.4279;9.1198;150;Italy;Sardegna;Quota ricavata da dem
597;Decimomannu;34;OD:034;39.3094;8.9606;11;Italy;Sardegna;Quota ricavata da dem
598;Decimomannu (Viv.Forest.);35;OD:035;39.2988;8.9707;4;Italy;Sardegna;Quota ricavata da dem
599;Bellicai (Privata);36;OD:036;39.3338;8.4941;386;Italy;Sardegna;Quota ricavata da dem
600;Punta Gennarta (Diga);37;OD:037;39.3318;8.5495;303;Italy;Sardegna;Quota ricavata da dem
