SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
4;TOS01000571;Vallucciole;11.657476;43.842022;750;750;NA;Toscana;OD:TOS01000571;Italy
5;TOS01000591;Montemignaio;11.620676;43.740236;742;742;NA;Toscana;OD:TOS01000591;Italy
6;TOS01000601;Ortignano;11.751541;43.681925;428;428;NA;Toscana;OD:TOS01000601;Italy
7;TOS01000611;Camaldoli;11.822053;43.79558;924;924;NA;Toscana;OD:TOS01000611;Italy
8;TOS01000621;Badia Prataglia;11.876816;43.7942;935;935;NA;Toscana;OD:TOS01000621;Italy
9;TOS01000626;Bibbiena;11.830949;43.714149;397;397;NA;Toscana;OD:TOS01000626;Italy
10;TOS01000639;La Verna;11.931335;43.706911;1053;1053;NA;Toscana;OD:TOS01000639;Italy
11;TOS01000651;Salutio;11.815369;43.621303;335;335;NA;Toscana;OD:TOS01000651;Italy
12;TOS01000701;Capezzine;11.932118;43.182868;324;324;NA;Toscana;OD:TOS01000701;Italy
13;TOS01000721;Bettolle;11.803501;43.202908;281;281;NA;Toscana;OD:TOS01000721;Italy
14;TOS01000741;Monte S.Savino;11.742346;43.339127;283;283;NA;Toscana;OD:TOS01000741;Italy
15;TOS01000751;Cortona;11.996448000000001;43.268995;485;485;NA;Toscana;OD:TOS01000751;Italy
16;TOS01000761;Castiglion Fiorentino;11.928964;43.342826;281;281;NA;Toscana;OD:TOS01000761;Italy
17;TOS01000771;Arezzo;11.89285;43.471577;291;291;NA;Toscana;OD:TOS01000771;Italy
18;TOS01000799;Laterina;11.716307;43.508954;214;214;NA;Toscana;OD:TOS01000799;Italy
19;TOS01000811;Badia Agnano;11.649081;43.436499;265;265;NA;Toscana;OD:TOS01000811;Italy
20;TOS01000831;Nusenna in Chianti;11.531117;43.45024;479;479;NA;Toscana;OD:TOS01000831;Italy
21;TOS01000861;Villa dell'Olio;11.604733;43.591795;380;380;NA;Toscana;OD:TOS01000861;Italy
22;TOS01000869;Renacci (Fattoria);11.523017;43.589701;173;173;NA;Toscana;OD:TOS01000869;Italy
23;TOS01000881;Pian di Sco';11.55515;43.649965;470;470;NA;Toscana;OD:TOS01000881;Italy
24;TOS01000891;Il Palagio;11.429856;43.614937;293;293;NA;Toscana;OD:TOS01000891;Italy
25;TOS01000901;Vallombrosa;11.556821;43.731367;1050;1050;NA;Toscana;OD:TOS01000901;Italy
26;TOS01000911;Cavallina;11.23742;43.983567;255;255;NA;Toscana;OD:TOS01000911;Italy
27;TOS01000916;Monte di Fo';11.280845;44.079632;792;792;NA;Toscana;OD:TOS01000916;Italy
28;TOS01000921;Mangona;11.197975;44.051395;552;552;NA;Toscana;OD:TOS01000921;Italy
29;TOS01000925;Marcoiano;11.304825;44.054421;582;582;NA;Toscana;OD:TOS01000925;Italy
30;TOS01000926;Le Croci (Barberino);11.271917;44.009686;387;387;NA;Toscana;OD:TOS01000926;Italy
31;TOS01000931;Ponte a Olmo;11.304384;44.049072;506;506;NA;Toscana;OD:TOS01000931;Italy
32;TOS01000941;Vaglia;11.280048;43.912891;304;304;NA;Toscana;OD:TOS01000941;Italy
33;TOS01000961;S. Agata di Mugello;11.33531;44.021705;337;337;NA;Toscana;OD:TOS01000961;Italy
34;TOS01000979;Razzuolo;11.467726;44.031584;775;775;NA;Toscana;OD:TOS01000979;Italy
35;TOS01000991;Ronta;11.436408;44.009048;457;457;NA;Toscana;OD:TOS01000991;Italy
36;TOS01000999;Borgo S. Lorenzo;11.39051;43.957877;194;194;NA;Toscana;OD:TOS01000999;Italy
37;TOS01001011;Villore;11.546251;43.966733;513;513;NA;Toscana;OD:TOS01001011;Italy
38;TOS01001029;Dicomano;11.5279;43.892594;293;293;NA;Toscana;OD:TOS01001029;Italy
39;TOS01001041;Consuma;11.585201;43.784466;908;908;NA;Toscana;OD:TOS01001041;Italy
40;TOS01001059;S. Brigida all'Opaco;11.39838;43.854377;463;463;NA;Toscana;OD:TOS01001059;Italy
41;TOS01001095;Firenze Genio Civile;11.258303;43.779406;51;51;NA;Toscana;OD:TOS01001095;Italy
42;TOS01001096;Firenze Universita';11.25114;43.798788;86;86;NA;Toscana;OD:TOS01001096;Italy
43;TOS01001102;Cercina;11.261496;43.844258;349;349;NA;Toscana;OD:TOS01001102;Italy
44;TOS01001103;Caldine;11.340546;43.845709;469;469;NA;Toscana;OD:TOS01001103;Italy
45;TOS01001115;Lamole;11.356912;43.548568;562;562;NA;Toscana;OD:TOS01001115;Italy
46;TOS01001129;Ferrone;11.259984;43.655384;188;188;NA;Toscana;OD:TOS01001129;Italy
47;TOS01001136;Ugolino;11.29777;43.698928;176;176;NA;Toscana;OD:TOS01001136;Italy
48;TOS01001141;Antella;11.329965;43.730104;162;162;NA;Toscana;OD:TOS01001141;Italy
49;TOS01001147;S. Colombano;11.127037;43.780686;34;34;NA;Toscana;OD:TOS01001147;Italy
50;TOS01001151;Cantagallo;11.083228;44.023971;494;494;NA;Toscana;OD:TOS01001151;Italy
51;TOS01001161;Gavigno;11.090323;44.070043;815;815;NA;Toscana;OD:TOS01001161;Italy
52;TOS01001171;Vernio;11.156912;44.04747;316;316;NA;Toscana;OD:TOS01001171;Italy
54;TOS01001189;Le Croci Calenzano;11.214416;43.946505;416;416;NA;Toscana;OD:TOS01001189;Italy
55;TOS01001205;Prato Universita';11.099213;43.885556;64;64;NA;Toscana;OD:TOS01001205;Italy
56;TOS01001212;Capalle;11.139133;43.828851;41;41;NA;Toscana;OD:TOS01001212;Italy
57;TOS01001215;S. Giusto;11.193765;43.759952;39;39;NA;Toscana;OD:TOS01001215;Italy
58;TOS01001225;Case Passerini;11.17746;43.814406;35;35;NA;Toscana;OD:TOS01001225;Italy
59;TOS01001249;Cireglio;10.854748;43.995497;708;708;NA;Toscana;OD:TOS01001249;Italy
60;TOS01001253;Montagnana;10.823039;43.953666;369;369;NA;Toscana;OD:TOS01001253;Italy
61;TOS01001263;Baggio;10.964162;43.99124;418;418;NA;Toscana;OD:TOS01001263;Italy
62;TOS01001269;La Ferruccia;11.003848;43.884551;40;40;NA;Toscana;OD:TOS01001269;Italy
63;TOS01001273;Fattoria Iavello;11.071435;43.963008;642;642;NA;Toscana;OD:TOS01001273;Italy
64;TOS01001284;Radda in Chianti;11.379111;43.486026;464;464;NA;Toscana;OD:TOS01001284;Italy
65;TOS01001291;S. Donato in Poggio;11.232544;43.538057;367;367;NA;Toscana;OD:TOS01001291;Italy
66;TOS01001311;Tenuta del Corno;11.147281;43.622893;305;305;NA;Toscana;OD:TOS01001311;Italy
67;TOS01001371;Vinci;10.928189;43.788597;90;90;NA;Toscana;OD:TOS01001371;Italy
68;TOS01001379;Simignano;11.168881;43.293748;453;453;NA;Toscana;OD:TOS01001379;Italy
69;TOS01001391;Casole d'Elsa;11.044005;43.343321;321;321;NA;Toscana;OD:TOS01001391;Italy
70;TOS01001419;S. Gimignano;11.042352;43.47229;226;226;NA;Toscana;OD:TOS01001419;Italy
71;TOS01001445;Poggio Aglione;10.922167;43.531901;425;425;NA;Toscana;OD:TOS01001445;Italy
72;TOS01001491;S. Miniato (Cimitero);10.831479;43.684031;42;42;NA;Toscana;OD:TOS01001491;Italy
73;TOS01001521;Marti;10.747468;43.64947;95;95;NA;Toscana;OD:TOS01001521;Italy
74;TOS01001561;Serra Pistoiese;10.75975;43.975617;700;700;NA;Toscana;OD:TOS01001561;Italy
75;TOS01001601;Montecatini Terme;10.773986;43.896797;120;120;NA;Toscana;OD:TOS01001601;Italy
76;TOS01001629;Castelmartini;10.829129;43.817839;22;22;NA;Toscana;OD:TOS01001629;Italy
77;TOS01001634;S. Baronto;10.939066;43.835141;338;338;NA;Toscana;OD:TOS01001634;Italy
78;TOS01001664;Volterra;10.862233;43.408995;372;372;NA;Toscana;OD:TOS01001664;Italy
79;TOS01001679;La Madonnina;10.909972;43.455625;271;271;NA;Toscana;OD:TOS01001679;Italy
80;TOS01001711;Orciatico;10.723384;43.435585;276;276;NA;Toscana;OD:TOS01001711;Italy
