SiteID;SiteName;Longitude;Latitude;Elevation;FullSiteCode;SiteCode;Rete;Comments;State
6507;Pergine;11.236686;46.062297;475;1;1;32;Regionale_Trentino;Italy
6508;Tenna;11.263616;46.015757;569;3;3;32;Regionale_Trentino;Italy
6509;Centa;11.234123;45.970184;815;9;9;32;Regionale_Trentino;Italy
6510;Levico (Terme);11.304882;46.010585;502;10;10;32;Regionale_Trentino;Italy
6511;Pontarso;11.494414;46.115589;925;14;14;32;Regionale_Trentino;Italy
6512;Bieno;11.553742;46.079537;806;15;15;32;Regionale_Trentino;Italy
6513;Costabrunella;11.584905;46.131138;2030;17;17;32;Regionale_Trentino;Italy
6514;Pieve Tesino (O.P. Enel);11.619781;46.070275;775;18;18;32;Regionale_Trentino;Italy
6515;S. Martino di Castrozza;11.801413;46.261299;1450;21;21;32;Regionale_Trentino;Italy
6516;Passo Cereda;11.906843;46.194016;1375;24;24;32;Regionale_Trentino;Italy
6517;Tonadico;11.836006;46.179227;744;26;26;32;Regionale_Trentino;Italy
6518;Val Noana (Diga);11.838542;46.138635;1017;27;27;32;Regionale_Trentino;Italy
6519;Caoria (Centrale);11.661763;46.204444;908;29;29;32;Regionale_Trentino;Italy
6520;Canal San Bovo;11.73469;46.149827;757;30;30;32;Regionale_Trentino;Italy
6521;Lavarone;11.254037;45.939893;1155;32;32;32;Regionale_Trentino;Italy
6522;San Michele All'Adige;11.132434;46.192616;205;38;38;32;Regionale_Trentino;Italy
6523;Pian Palu' (Diga);10.61394;46.336534;1795;63;63;32;Regionale_Trentino;Italy
6524;Peio;10.675627;46.363996;1565;64;64;32;Regionale_Trentino;Italy
6525;Careser (Diga);10.699326;46.42264;2600;65;65;32;Regionale_Trentino;Italy
6526;Cogolo Pont (Centrale);10.688066;46.362229;1185;68;68;32;Regionale_Trentino;Italy
6527;Passo Tonale T0069;10.611037;46.263316;1795;69;69;32;Regionale_Trentino;Italy
6528;Mezzana;10.795807;46.313429;905;71;71;32;Regionale_Trentino;Italy
6529;Male';10.916104;46.355098;735;74;74;32;Regionale_Trentino;Italy
6530;Somrabbi (Piazzola di Rabbi);10.803592;46.410351;1352;75;75;32;Regionale_Trentino;Italy
6531;S. Bernardo di Rabbi;10.844362;46.400503;1098;76;76;32;Regionale_Trentino;Italy
6532;Fondo;11.138006;46.439668;987;80;80;32;Regionale_Trentino;Italy
6533;Passo Mendola;11.189417;46.419238;1320;82;82;32;Regionale_Trentino;Italy
6534;Cles;11.031223;46.362003;665;83;83;32;Regionale_Trentino;Italy
6535;Santa Giustina;11.061704;46.34568;532;84;84;32;Regionale_Trentino;Italy
