SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State;SiteName_CentroFunzionale
3552;3552;AMELIA;12.417;42.556;333;333;NA;Umbria;3552;Italy;Amelia
4589;4589;ABETO;13.063;42.837;899;899;NA;Umbria;4589;Italy;NA
468;468;ALLERONA;12.034;42.772;153;153;NA;Umbria;468;Italy;Allerona
4335;4335;ANCAIANO;12.774;42.648;579;579;NA;Umbria;4335;Italy;Ancaiano
1090;1090;ARMENZANO;12.702;43.072;614;614;NA;Umbria;1090;Italy;Armenzano
4849;4849;ARRONE;12.761;42.582;255;255;NA;Umbria;4849;Italy;Arrone
4851;4851;ATTIGLIANO;12.291;42.52;80;80;NA;Umbria;4851;Italy;Attigliano
4957;4957;AVIGLIANO UMBRO;12.437;42.677;422;422;NA;Umbria;4957;Italy;Avigliano Umbro
811;811;AZZANO;12.757;42.812;235;235;NA;Umbria;811;Italy;Azzano
796;796;BASTARDO;12.558;42.865;321;321;NA;Umbria;796;Italy;Bastardo
270;270;BASTIA UMBRA;12.561;43.054;204;204;NA;Umbria;270;Italy;Bastia Umbra
3543;3543;BEVAGNA;12.639;42.944;205;205;NA;Umbria;3543;Italy;Bevagna
4960;4960;BRANCA;12.695;43.266;413;413;NA;Umbria;4960;Italy;Branca
4850;4850;CALVI DELL'UMBRIA;12.555;42.417;342;342;NA;Umbria;4850;Italy;Calvi dell'Umbria
4958;4958;CAMPOGRANDE;12.028;42.939;492;492;NA;Umbria;4958;Italy;Campogrande
3545;3545;CANNARA;12.584;42.996;190;190;NA;Umbria;3545;Italy;Cannara
3546;3546;CANTALUPO;12.597;42.956;200;200;NA;Umbria;3546;Italy;NA
1480;1480;CARESTELLO;12.534;43.286;494;494;NA;Umbria;1480;Italy;Carestello
792;792;CASA CASTALDA;12.659;43.18;663;663;NA;Umbria;792;Italy;Casa Castalda
4963;4963;CASANUOVA;12.596;43.188;334;334;NA;Umbria;4963;Italy;Casanuova
4973;4973;CASCIA;13.02;42.718;626;626;NA;Umbria;4973;Italy;Cascia
795;795;CASIGLIANO;12.496;42.716;264;264;NA;Umbria;795;Italy;Casigliano
4072;4072;CASSA MOLINO DI BAGNI;12.122;42.789;191;191;NA;Umbria;4072;Italy;Cassa Molino di Bagni
4956;4956;CASTAGNACUPA;12.654;42.671;741;741;NA;Umbria;4956;Italy;Castagnacupa
4854;4854;CASTELLUCCIO;13.214;42.829;1337;1337;NA;Umbria;4854;Italy;Castelluccio di Norcia
457;457;CASTIGLIONE DEL LAGO;12.044;43.123;260;260;NA;Umbria;457;Italy;Castiglione del Lago
1653;1653;CERBARA;12.218;43.509;318;318;NA;Umbria;1653;Italy;Cerbara
265;265;CITTA' DI CASTELLO;12.251;43.462;306;306;NA;Umbria;265;Italy;Citta'di Castello
775;775;COLLEPEPE;12.406;42.93;175;175;NA;Umbria;775;Italy;Collepepe
269;269;COMPIGNANO;12.283;42.948;211;211;NA;Umbria;269;Italy;Compignano
4953;4953;COMPRESSO;12.338;43.181;453;453;NA;Umbria;4953;Italy;Compresso
636;636;CORBARA;12.237;42.698;151;151;NA;Umbria;636;Italy;Lago di Corbara
4852;4852;CORCIANO;12.307;43.107;283;283;NA;Umbria;4852;Italy;Corciano
4847;4847;FICULLE;12.065;42.842;431;431;NA;Umbria;4847;Italy;Ficulle
1520;1520;FOLIGNO;12.679;42.953;222;222;NA;Umbria;1520;Italy;Foligno
1519;1519;FORCA CANAPINE;13.189;42.761;1540;1540;NA;Umbria;1519;Italy;Forca Canapine
797;797;FORSIVO;13.014;42.799;792;792;NA;Umbria;797;Italy;Forsivo
