SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_DEM;Elevation_FonteDati;Regione;FullSiteCode;State
1;100;Conegliano Veneto;12.28254;45.88066;71;71;NA;Veneto;OD:100;Italy
2;101;Porto Tolle - Pradon;12.36932;44.91663;2;2;NA;Veneto;OD:101;Italy
3;102;Castelfranco Veneto;11.94814;45.69427;51;51;NA;Veneto;OD:102;Italy
4;104;Villafranca Veronese;10.83289;45.37175;67;67;NA;Veneto;OD:104;Italy
5;105;Lonigo;11.3799;45.38992;31;31;NA;Veneto;OD:105;Italy
6;106;Montagnana;11.42161;45.24778;14;14;NA;Veneto;OD:106;Italy
7;108;Salizzole;11.09591;45.23938;22;22;NA;Veneto;OD:108;Italy
8;11;Malga Ciapela;11.9051;46.42785;1501;1501;NA;Veneto;OD:11;Italy
9;110;Cittadella;11.79385;45.65573;49;49;NA;Veneto;OD:110;Italy
10;111;Legnaro;11.95239;45.34669;7;7;NA;Veneto;OD:111;Italy
11;112;Rosolina - Po di Tramontana;12.26199;45.07048;2;2;NA;Veneto;OD:112;Italy
12;113;Castelnovo Bariano;11.30257;45.03066;12;12;NA;Veneto;OD:113;Italy
13;114;Villadose;11.92263;45.0707;2;2;NA;Veneto;OD:114;Italy
14;115;Adria - Bellombra;12.00784;45.01509;1;1;NA;Veneto;OD:115;Italy
15;116;Frassinelle Polesine;11.67902;44.98979;6;6;NA;Veneto;OD:116;Italy
16;117;Sorga';11.00903;45.21726;23;23;NA;Veneto;OD:117;Italy
17;118;Bardolino - Calmasino;10.765930000000001;45.5177;161;161;NA;Veneto;OD:118;Italy
18;119;Roverchiara;11.25143;45.26514;19;19;NA;Veneto;OD:119;Italy
19;120;Dolc�;10.84901;45.5989;112;112;NA;Veneto;OD:120;Italy
20;121;Lusia;11.63388;45.09176;6;6;NA;Veneto;OD:121;Italy
21;122;Trebaseleghe;12.02596;45.60174;23;23;NA;Veneto;OD:122;Italy
22;123;Arcole;11.29606;45.37484;28;28;NA;Veneto;OD:123;Italy
23;124;Marano di Valpolicella;10.92363;45.5473;283;283;NA;Veneto;OD:124;Italy
24;125;San Pietro in Cariano;10.88834;45.50865;137;137;NA;Veneto;OD:125;Italy
25;126;Illasi;11.17178;45.45954;155;155;NA;Veneto;OD:126;Italy
26;127;Buttapietra;11.01065;45.35231;41;41;NA;Veneto;OD:127;Italy
27;128;Grezzana;11.01372;45.50916;176;176;NA;Veneto;OD:128;Italy
28;129;Castelnuovo del Garda;10.77261;45.45398;122;122;NA;Veneto;OD:129;Italy
