codiceCF;nomeStazione;sensore
#stazioni disponibili su Centro Funzionale e scaricate (sono quelle che hanno un analogo in HisCentral)
36423;Agerola METEO-1;Termometro
18387;Alife;Termometro
21743;Altavilla Irpina;Termometro
17260;Alvignano;Termometro
21771;Ariano Irpino;Termometro
36473;Ariano Irpino METEO-1;Termometro
12266;Auletta;Termometro
20890;Avellino-Genio Civile;Termometro
18401;Bagnoli Irpino;Termometro
17417;Battipaglia;Termometro
12250;Benevento;Termometro
36448;Benevento METEO-1;Termometro
17263;Boiara;Termometro
36581;Capaccio;Termometro
18411;Caposele;Termometro
36577;Cassano Irpino;Termometro
21786;Castelfranco in Miscano;Termometro
12272;Castelluccio;Termometro
36303;Cellole METEO-1;Termometro
20898;Colle Sannita;Termometro
17256;Contursi Meteo;Termometro
36333;Conza della Campania METEO-1;Termometro
36912;Costa dei Corvi;Termometro
20894;Cusano Mutri;Termometro
21761;Ercolano;Termometro
38534;Gioi Cilento;Termometro
12242;Grazzanise;Termometro
40336;Lago Patria METEO-1;Termometro
37721;Letino;Termometro
20902;Luogosano;Termometro
17402;Melizzano;Termometro
17409;Mercato S.Severino;Termometro
36906;Moiano;Termometro
37292;Montecorvino Rovella;Termometro
12254;Montella;Termometro
37443;Montella METEO-1;Termometro
12275;Montemarano;Termometro
36932;Montesano Marcellana METEO-1;Termometro
38543;Montesano Terme;Termometro
37715;Morcone;Termometro
40112;Morigerati;Termometro
36127;Nisida METEO-1;Termometro
12262;Paduli;Termometro
37262;Palma Campania;Termometro
12246;Persano Sele;Termometro
20906;Pietrastornina;Termometro
38978;Pizzolano;Termometro
17267;Pompei;Termometro
21782;Pontelatone;Termometro
37718;Positano;Termometro
36546;Postiglione METEO-1;Termometro
21757;Ravello;Termometro
38786;Rocca d'Evandro METEO-1;Termometro
36897;Roccadaspide;Termometro
22717;Roccamonfina;Termometro
37284;Rocchetta;Termometro
17273;S.Angelo d'Alife;Termometro
36240;S.Bartolomeo in Galdo METEO-1;Termometro
38662;S.Marco Evangelista METEO-1;Termometro
36900;S.Maria a Vico;Termometro
12295;S.Mauro;Termometro
38546;S.Mauro La Bruca;Termometro
12291;S.Pietro;Termometro
38590;S.Salvatore Telesino METEO-1;Termometro
36909;Sala Consilina;Termometro
36398;Salerno METEO-1;Termometro
38497;Sanza;Termometro
12287;Senerchia;Termometro
21747;Serino;Termometro
18395;Sorgenti Grassano;Termometro
38531;Torchiara;Termometro
38549;Torraca;Termometro
36269;Torre Orsaia METEO-1;Termometro
15286;Torriello;Termometro
21736;Tramonti;Termometro
37295;Vallo della Lucania;Termometro
