SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end
239;Lunghezza;108300;OD:108300;41.9272;12.6675;NA;NA;Lazio;NA;1922;1999;1992;2002;NA;NA;NA;NA;1921;2004
240;Roma Macao;111600;OD:111600;41.9039;12.5072;NA;NA;Lazio;NA;NA;NA;1951;2002;1965;2002;1965;2002;NA;NA
243;Aniene a Ponte Lucano;119600;OD:119600;41.9558;12.7631;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1993;2004
249;Marano Equo;138400;OD:138400;41.9939;13.0214;NA;NA;Lazio;NA;NA;NA;1955;1998;NA;NA;NA;NA;1994;2004
253;Subiaco;140300;OD:140300;41.9228;13.0931;NA;NA;Lazio;NA;1926;1999;1996;2002;NA;NA;NA;NA;1926;2004
254;Rio Galeria;140900;OD:140900;41.8169;12.3419;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1994;2004
258;Aniene a Centrale Acquoria;143200;OD:143200;41.9631;12.7853;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1994;2004
260;Castello Vici;153400;OD:153400;42.0961;12.2792;NA;NA;Lazio;NA;NA;NA;1996;2001;1996;2001;1996;2001;NA;NA
261;Fosso Cremera a Labaro;163800;OD:163800;41.9872;12.4931;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1996;2004
262;Fosso Corese a Passo Corese;163900;OD:163900;42.1517;12.6522;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1995;2004
263;Nerola;164000;OD:164000;42.1611;12.7872;NA;NA;Lazio;NA;NA;NA;2001;2002;NA;NA;NA;NA;NA;NA
264;La Storta;1800;OD:1800;42.0039;12.3778;NA;NA;Lazio;NA;NA;NA;1995;2002;NA;NA;NA;NA;NA;NA
265;Pratolungo;185400;OD:185400;41.9364;12.5989;NA;NA;Lazio;NA;NA;NA;1998;2002;NA;NA;NA;NA;1998;2004
267;Flaminio;1900;OD:1900;42.0083;12.4561;NA;NA;Lazio;NA;NA;NA;1994;2002;NA;NA;NA;NA;NA;NA
268;Fondi;192100;OD:192100;41.3422;13.4189;NA;NA;Lazio;NA;NA;NA;1961;2002;1976;2002;1976;2002;NA;NA
269;Borgo S Maria;198900;OD:198900;41.4631;12.8117;NA;NA;Lazio;NA;NA;NA;NA;NA;NA;NA;NA;NA;1999;2004
270;Maccarese;199100;OD:199100;41.8825;12.2333;NA;NA;Lazio;NA;NA;NA;1999;2002;NA;NA;NA;NA;1930;2004
271;Fiora a Pitigliano;199200;OD:199200;42.5936;11.5989;NA;NA;Lazio;NA;1931;1943;1999;2002;NA;NA;NA;NA;1931;2004
272;Fiora a Montalto di Castro;199300;OD:199300;42.3539;11.5992;NA;NA;Lazio;NA;1964;1993;1955;2002;1999;2002;1999;2002;1929;1999
273;Tarquinia;199400;OD:199400;42.2569;11.7425;NA;NA;Lazio;NA;NA;NA;1951;2002;1999;2002;1999;2002;1929;2004
274;Montefiascone;199500;OD:199500;42.53;12.0228;NA;NA;Lazio;NA;NA;NA;1952;2002;1952;2002;1952;2002;NA;NA
275;Allumiere;199600;OD:199600;42.1578;11.9086;NA;NA;Lazio;NA;NA;NA;1958;2002;1964;2002;NA;NA;NA;NA
276;Civitavecchia;199700;OD:199700;42.0967;11.7853;NA;NA;Lazio;NA;NA;NA;1951;2002;1959;2002;1959;2002;NA;NA
278;Bracciano;199900;OD:199900;42.1019;12.175;NA;NA;Lazio;NA;NA;NA;1951;2002;1964;2002;1989;1989;NA;NA
279;Roma Nord;2000;OD:2000;41.9619;12.4956;NA;NA;Lazio;NA;NA;NA;1995;2002;NA;NA;NA;NA;NA;NA
280;Abbadia S Salvatore;200400;OD:200400;42.8942;11.6692;NA;NA;Lazio;NA;NA;NA;1951;2002;1951;2002;NA;NA;NA;NA
281;Leonessa;200600;OD:200600;42.5786;12.9536;NA;NA;Lazio;NA;NA;NA;1951;2002;1951;2002;1951;2002;NA;NA
282;Posticciola;200800;OD:200800;42.2336;12.9419;NA;NA;Lazio;NA;NA;NA;1951;2002;1971;2002;1971;2002;NA;NA
283;Poggio Mirteto;200900;OD:200900;42.27;12.6953;NA;NA;Lazio;NA;NA;NA;1951;2002;1951;2002;1951;2002;NA;NA
285;Ardea;201200;OD:201200;41.6117;12.5369;NA;NA;Lazio;NA;NA;NA;1951;2002;1951;2002;NA;NA;NA;NA
